연도,번호,학교명,학교유형,설립,지역,대학규모,시설_도서관건물연면적 (제곱미터),시설_열람석_총열람석수,시설_설비_정보화기기(PC)수,재학생 1인당 도서관건물 연면적_연면적,재학생 1인당 도서관건물 연면적_재학생수(당해년도),재학생 1인당 도서관건물 연면적_재학생 1인당 도서관건물 연면적
2021,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,332.6000061035156,100,0,332.6000061035156,261,1.2999999523162842
2021,2,가야대학교,대학,사립,경남,C그룹,3369.10009765625,738,32,3369.10009765625,2121,1.600000023841858
2021,3,가천대학교,대학,사립,경기,A그룹,13194.2998046875,3013,244,13194.2998046875,21928,0.6000000238418579
2021,4,가톨릭관동대학교,대학,사립,강원,B그룹,8226.0,1387,99,8226.0,7879,1.0
2021,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,1727.0,185,26,1727.0,491,3.5
2021,6,가톨릭대학교,대학,사립,경기,A그룹,17684.0,3113,186,17684.0,10444,1.7000000476837158
2021,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,3339.0,414,19,3339.0,1865,1.7999999523162842
2021,8,감리교신학대학교,대학,사립,서울,C그룹,2542.0,402,9,2542.0,1448,1.7999999523162842
2021,9,강남대학교,대학,사립,경기,B그룹,5555.0,1101,80,5555.0,6991,0.800000011920929
2021,10,강동대학교,전문대학,사립,충북,B그룹,1055.300048828125,350,8,1055.300048828125,3053,0.30000001192092896
2021,11,강릉영동대학교,전문대학,사립,강원,B그룹,2521.0,525,7,2521.0,2443,1.0
2021,12,강서대학교,대학,사립,서울,C그룹,1169.0,284,11,1169.0,1840,0.6000000238418579
2021,13,강원관광대학교,전문대학,사립,강원,C그룹,1092.0,228,21,1092.0,597,1.7999999523162842
2021,14,강원대학교,대학,국립,강원,A그룹,28504.900390625,3708,303,28504.900390625,21898,1.2999999523162842
2021,15,강원도립대학교,전문대학,공립,강원,C그룹,1735.0,188,10,1735.0,579,3.0
2021,16,개신대학원대학교,대학원대학,사립,서울,-,221.5,40,8,221.5,137,1.600000023841858
2021,17,거제대학교,전문대학,사립,경남,C그룹,1413.5999755859375,306,10,1413.5999755859375,1066,1.2999999523162842
2021,18,건국대학교,대학,사립,서울,A그룹,24695.0,3389,264,24695.0,20271,1.2000000476837158
2021,19,건국대학교(글로컬),대학,사립,충북,B그룹,10320.0,1394,62,10320.0,7431,1.399999976158142
2021,20,건동대학교,대학,사립,경북,C그룹,0.0,0,0,0.0,0,0.0
2021,21,건신대학원대학교,대학원대학,사립,대전,-,446.0,60,5,446.0,166,2.700000047683716
2021,22,건양대학교,대학,사립,충남,B그룹,9895.0,2013,135,9895.0,7336,1.2999999523162842
2021,23,경기과학기술대학교,전문대학,사립,경기,A그룹,4415.0,913,100,4415.0,4276,1.0
2021,24,경기대학교,대학,사립,경기,A그룹,13909.0,2481,135,13909.0,16112,0.8999999761581421
2021,25,경남대학교,대학,사립,경남,A그룹,13473.2001953125,2879,154,13473.2001953125,11943,1.100000023841858
2021,26,경남도립거창대학,전문대학,공립,경남,C그룹,823.0,180,15,823.0,804,1.0
2021,27,경남도립남해대학,전문대학,공립,경남,C그룹,759.9000244140625,110,27,759.9000244140625,728,1.0
2021,28,경남정보대학교,전문대학,사립,부산,A그룹,7791.0,1328,117,7791.0,6030,1.2999999523162842
2021,29,경동대학교,대학,사립,강원,B그룹,11290.0,2277,123,11290.0,7549,1.5
2021,30,경민대학교,전문대학,사립,경기,B그룹,2218.39990234375,220,17,2218.39990234375,3845,0.6000000238418579
2021,31,경복대학교,전문대학,사립,경기,A그룹,9777.099609375,2088,111,9777.099609375,6208,1.600000023841858
2021,32,경북과학대학교,전문대학,사립,경북,C그룹,1014.0,252,20,1014.0,1845,0.5
2021,33,경북대학교,대학,국립,대구,A그룹,41434.3984375,5478,190,41434.3984375,27380,1.5
2021,34,경북보건대학교,전문대학,사립,경북,C그룹,741.0,210,20,741.0,1233,0.6000000238418579
2021,35,경북외국어대학교,대학,사립,대구,C그룹,0.0,0,0,0.0,0,0.0
2021,36,경북전문대학교,전문대학,사립,경북,B그룹,1749.199951171875,388,14,1749.199951171875,2736,0.6000000238418579
2021,37,경상국립대학교,대학,국립,경남,A그룹,32696.30078125,3765,229,32696.30078125,20962,1.600000023841858
2021,38,경성대학교,대학,사립,부산,A그룹,13287.5,1939,129,13287.5,12972,1.0
2021,39,경안대학원대학교,대학원대학,사립,경북,-,117.30000305175781,33,1,117.30000305175781,58,2.0
2021,40,경운대학교,대학,사립,경북,C그룹,5759.5,1377,120,5759.5,4518,1.2999999523162842
2021,41,경인교육대학교,대학,국립,인천,C그룹,10071.900390625,1311,85,10071.900390625,3973,2.5
2021,42,경인여자대학교,전문대학,사립,인천,B그룹,2202.60009765625,478,36,2202.60009765625,4585,0.5
2021,43,경일대학교,대학,사립,경북,B그룹,12429.0,1522,93,12429.0,7141,1.7000000476837158
2021,44,경찰대학,기타,기타,충남,-,5497.0,260,32,5497.0,0,0.0
2021,45,경희대학교,대학,사립,서울,A그룹,38267.1015625,5330,264,38267.1015625,34454,1.100000023841858
2021,46,계명대학교,대학,사립,대구,A그룹,28169.69921875,3567,440,28169.69921875,23449,1.2000000476837158
2021,47,계명문화대학교,전문대학,사립,대구,A그룹,5598.0,695,64,5598.0,4708,1.2000000476837158
2021,48,계약신학대학원대학교,대학원대학,사립,경기,-,402.0,58,9,402.0,9,44.70000076293945
2021,49,계원예술대학교,전문대학,사립,경기,B그룹,3017.0,517,8,3017.0,2832,1.100000023841858
2021,50,고려대학교,대학,사립,서울,A그룹,49207.0,7247,264,49207.0,29572,1.7000000476837158
2021,51,고려대학교(세종),대학,사립,세종,B그룹,8958.0,1088,56,8958.0,7481,1.2000000476837158
2021,52,고려사이버대학교,대학,사립,서울,A그룹,0.0,0,4,0.0,10457,0.0
2021,53,고신대학교,대학,사립,부산,C그룹,7648.60009765625,1473,42,7648.60009765625,4686,1.600000023841858
2021,54,공군사관학교,기타,기타,충북,-,4105.2001953125,358,16,4105.2001953125,0,0.0
2021,55,공주교육대학교,대학,국립,충남,C그룹,6537.0,841,45,6537.0,2003,3.299999952316284
2021,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,0.0,0,0,0.0,1282,0.0
2021,57,광신대학교,대학,사립,광주,C그룹,2715.0,351,23,2715.0,977,2.799999952316284
2021,58,광양보건대학교,전문대학,사립,전남,C그룹,1308.0,290,6,1308.0,371,3.5
2021,59,광운대학교,대학,사립,서울,B그룹,10899.7001953125,1584,97,10899.7001953125,9900,1.100000023841858
2021,60,광주가톨릭대학교,대학,사립,전남,C그룹,2883.0,179,19,2883.0,109,26.399999618530273
2021,61,광주과학기술원,대학,국립,광주,C그룹,8760.0,585,48,8760.0,2003,4.400000095367432
2021,62,광주교육대학교,대학,국립,광주,C그룹,5612.0,645,50,5612.0,1842,3.0
2021,63,광주대학교,대학,사립,광주,B그룹,15073.5,1246,89,15073.5,7146,2.0999999046325684
2021,64,광주보건대학교,전문대학,사립,광주,B그룹,4089.0,1106,19,4089.0,3673,1.100000023841858
2021,65,광주여자대학교,대학,사립,광주,C그룹,5705.10009765625,1013,71,5705.10009765625,3983,1.399999976158142
2021,66,구미대학교,전문대학,사립,경북,A그룹,1484.0,394,94,1484.0,5163,0.30000001192092896
2021,67,구세군사관대학원대학교,대학원대학,사립,경기,-,200.0,24,3,200.0,30,6.699999809265137
2021,68,국군간호사관학교,기타,기타,대전,-,1728.300048828125,434,9,1728.300048828125,0,0.0
2021,69,국립강릉원주대학교,대학,국립,강원,B그룹,22374.0,1813,121,22374.0,8202,2.700000047683716
2021,70,국립경국대학교,대학,국립,경북,B그룹,12421.0,1442,107,12421.0,6788,1.7999999523162842
2021,71,국립공주대학교,대학,국립,충남,A그룹,27957.30078125,3074,147,27957.30078125,15012,1.899999976158142
2021,72,국립군산대학교,대학,국립,전북,B그룹,11398.0,1461,85,11398.0,7830,1.5
2021,73,국립금오공과대학교,대학,국립,경북,B그룹,11433.0,1709,73,11433.0,5874,1.899999976158142
2021,74,국립목포대학교,대학,국립,전남,B그룹,15918.2998046875,1636,77,15918.2998046875,7406,2.0999999046325684
2021,75,국립목포해양대학교,대학,국립,전남,C그룹,4713.60009765625,556,41,4713.60009765625,2657,1.7999999523162842
2021,76,국립부경대학교,대학,국립,부산,A그룹,22136.0,3696,115,22136.0,18005,1.2000000476837158
2021,77,국립순천대학교,대학,국립,전남,B그룹,11878.900390625,2005,75,11878.900390625,7514,1.600000023841858
2021,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,210.0,56,18,210.0,69,3.0
2021,79,국립창원대학교,대학,국립,경남,B그룹,15603.0,2305,129,15603.0,9095,1.7000000476837158
2021,80,국립한국교통대학교,대학,국립,충북,B그룹,15319.0,1919,180,15319.0,8729,1.7999999523162842
2021,81,국립한국해양대학교,대학,국립,부산,B그룹,7565.89990234375,881,61,7565.89990234375,7304,1.0
2021,82,국립한밭대학교,대학,국립,대전,B그룹,9990.900390625,1466,43,9990.900390625,9117,1.100000023841858
2021,83,국민대학교,대학,사립,서울,A그룹,13250.2001953125,2524,125,13250.2001953125,18425,0.699999988079071
2021,84,국방대학교,기타,기타,충남,-,9072.0,190,38,9072.0,0,0.0
2021,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,103.0,31,5,103.0,251,0.4000000059604645
2021,86,국제대학교,전문대학,사립,경기,B그룹,703.0999755859375,212,25,703.0999755859375,3236,0.20000000298023224
2021,87,국제문화대학원대학교,대학원대학,사립,충남,-,0.0,0,0,0.0,0,0.0
2021,88,국제법률경영대학원대학교,대학원대학,사립,경기,-,561.5999755859375,170,0,561.5999755859375,230,2.4000000953674316
2021,89,국제사이버대학교,대학,사립,경기,C그룹,0.0,0,4,0.0,3221,0.0
2021,90,국제언어대학원대학교,대학원대학,사립,서울,-,221.39999389648438,42,9,221.39999389648438,63,3.5
2021,91,국제예술대학교,기타,기타,서울,-,45.0,1,1,45.0,0,0.0
2021,92,군산간호대학교,전문대학,사립,전북,C그룹,1026.199951171875,346,38,1026.199951171875,1156,0.8999999761581421
2021,93,군장대학교,전문대학,사립,전북,C그룹,712.0,154,20,712.0,1880,0.4000000059604645
2021,94,극동대학교,대학,사립,충북,C그룹,2362.89990234375,802,69,2362.89990234375,3314,0.699999988079071
2021,95,글로벌사이버대학교,대학,사립,충남,C그룹,0.0,0,0,0.0,2294,0.0
2021,96,금강대학교,대학,사립,충남,C그룹,8287.7998046875,481,31,8287.7998046875,285,29.100000381469727
2021,97,기독간호대학교,전문대학,사립,광주,C그룹,369.5,137,5,369.5,593,0.6000000238418579
2021,98,김천대학교,대학,사립,경북,C그룹,3509.10009765625,1066,45,3509.10009765625,2920,1.2000000476837158
2021,99,김포대학교,전문대학,사립,경기,C그룹,2302.0,566,17,2302.0,2575,0.8999999761581421
2021,100,김해대학교,전문대학,사립,경남,C그룹,1034.0999755859375,457,2,1034.0999755859375,1428,0.699999988079071
2021,101,나사렛대학교,대학,사립,충남,B그룹,3966.0,599,89,3966.0,5095,0.800000011920929
2021,102,나주대학교,전문대학,사립,전남,C그룹,367.0,120,62,367.0,1535,0.20000000298023224
2021,103,남부대학교,대학,사립,광주,C그룹,2437.300048828125,1007,21,2437.300048828125,3553,0.699999988079071
2021,104,남서울대학교,대학,사립,충남,B그룹,15937.0,1796,85,15937.0,9872,1.600000023841858
2021,105,농협대학교,전문대학,사립,경기,C그룹,445.70001220703125,90,14,445.70001220703125,429,1.0
2021,106,능인대학원대학교,대학원대학,사립,경기,-,399.0,57,5,399.0,58,6.900000095367432
2021,107,단국대학교,대학,사립,경기,A그룹,32493.30078125,4617,205,32493.30078125,26348,1.2000000476837158
2021,108,대경대학교,전문대학,사립,경북,B그룹,1176.0,365,18,1176.0,3858,0.30000001192092896
2021,109,대구가톨릭대학교,대학,사립,경북,A그룹,19671.19921875,2497,168,19671.19921875,13094,1.5
2021,110,대구경북과학기술원,대학,국립,대구,C그룹,11833.0,100,75,11833.0,1520,7.800000190734863
2021,111,대구공업대학교,전문대학,사립,대구,C그룹,1944.0999755859375,272,22,1944.0999755859375,1639,1.2000000476837158
2021,112,대구과학대학교,전문대학,사립,대구,A그룹,6697.0,1218,57,6697.0,4006,1.7000000476837158
2021,113,대구교육대학교,대학,국립,대구,C그룹,8369.2001953125,1206,70,8369.2001953125,2486,3.4000000953674316
2021,114,대구대학교,대학,사립,경북,A그룹,22444.0,3144,211,22444.0,17749,1.2999999523162842
2021,115,대구미래대학교,전문대학,사립,경북,C그룹,0.0,0,0,0.0,0,0.0
2021,116,대구보건대학교,전문대학,사립,대구,A그룹,3918.0,925,29,3918.0,6672,0.6000000238418579
2021,117,대구사이버대학교,대학,사립,경북,C그룹,12.600000381469727,0,0,12.600000381469727,4365,0.0
2021,118,대구예술대학교,대학,사립,경북,C그룹,891.7000122070312,120,36,891.7000122070312,782,1.100000023841858
2021,119,대구외국어대학교,대학,사립,경북,C그룹,0.0,0,0,0.0,0,0.0
2021,120,대구한의대학교,대학,사립,경북,B그룹,7695.0,1107,43,7695.0,6872,1.100000023841858
2021,121,대덕대학교,전문대학,사립,대전,C그룹,1398.0999755859375,374,39,1398.0999755859375,2837,0.5
2021,122,대동대학교,전문대학,사립,부산,C그룹,1045.9000244140625,290,38,1045.9000244140625,1494,0.699999988079071
2021,123,대림대학교,전문대학,사립,경기,A그룹,3976.60009765625,893,276,3976.60009765625,7228,0.6000000238418579
2021,124,대신대학교,대학,사립,경북,C그룹,2183.0,284,10,2183.0,626,3.5
2021,125,대원대학교,전문대학,사립,충북,C그룹,1417.800048828125,540,28,1417.800048828125,2219,0.6000000238418579
2021,126,대전가톨릭대학교,대학,사립,세종,C그룹,1904.0999755859375,143,17,1904.0999755859375,66,28.899999618530273
2021,127,대전과학기술대학교,전문대학,사립,대전,B그룹,12164.0,1465,75,12164.0,4101,3.0
2021,128,대전대학교,대학,사립,대전,B그룹,15210.0,1769,146,15210.0,9367,1.600000023841858
2021,129,대전보건대학교,전문대학,사립,대전,A그룹,3078.0,801,46,3078.0,5175,0.6000000238418579
2021,130,대전신학대학교,대학,사립,대전,C그룹,1991.0,213,8,1991.0,154,12.899999618530273
2021,131,대진대학교,대학,사립,경기,B그룹,13847.5,1260,52,13847.5,7865,1.7999999523162842
2021,132,대한신학대학원대학교,대학원대학,사립,경기,-,204.0,42,2,204.0,178,1.100000023841858
2021,133,덕성여자대학교,대학,사립,서울,B그룹,11122.0,2080,148,11122.0,5900,1.899999976158142
2021,134,동강대학교,전문대학,사립,광주,B그룹,3373.800048828125,662,27,3373.800048828125,2675,1.2999999523162842
2021,135,동국대학교,대학,사립,서울,A그룹,23899.099609375,2787,146,23899.099609375,17534,1.399999976158142
2021,136,동국대학교 WISE캠퍼스,대학,사립,경북,B그룹,12274.0,1334,31,12274.0,7974,1.5
2021,137,동남보건대학교,전문대학,사립,경기,A그룹,5665.0,1044,58,5665.0,4650,1.2000000476837158
2021,138,동덕여자대학교,대학,사립,서울,B그룹,8168.5,1598,199,8168.5,7406,1.100000023841858
2021,139,동명대학교,대학,사립,부산,B그룹,10718.0,1581,61,10718.0,7928,1.399999976158142
2021,140,동방문화대학원대학교,대학원대학,사립,서울,-,269.0,45,9,269.0,328,0.800000011920929
2021,141,동부산대학교,전문대학,사립,부산,C그룹,0.0,0,0,0.0,0,0.0
2021,142,동서대학교,대학,사립,부산,B그룹,15371.0,2327,145,15371.0,10059,1.5
2021,143,동서울대학교,전문대학,사립,경기,A그룹,4501.7998046875,847,50,4501.7998046875,5586,0.800000011920929
2021,144,동신대학교,대학,사립,전남,B그룹,12927.0,1067,62,12927.0,6653,1.899999976158142
2021,145,동아대학교,대학,사립,부산,A그룹,14449.400390625,2799,196,14449.400390625,20340,0.699999988079071
2021,146,동아방송예술대학교,전문대학,사립,경기,B그룹,1185.4000244140625,237,43,1185.4000244140625,3016,0.4000000059604645
2021,147,동아보건대학교,전문대학,사립,전남,C그룹,2013.0,266,0,2013.0,1484,1.399999976158142
2021,148,동양대학교,대학,사립,경북,C그룹,5625.2001953125,342,25,5625.2001953125,4001,1.399999976158142
2021,149,동양미래대학교,전문대학,사립,서울,A그룹,5827.0,1000,59,5827.0,5927,1.0
2021,150,동우대학,전문대학,사립,강원,B그룹,0.0,0,0,0.0,0,0.0
2021,151,동원과학기술대학교,전문대학,사립,경남,B그룹,6133.0,425,101,6133.0,2343,2.5999999046325684
2021,152,동원대학교,전문대학,사립,경기,B그룹,2956.0,583,55,2956.0,3013,1.0
2021,153,동의과학대학교,전문대학,사립,부산,B그룹,2644.5,479,43,2644.5,4333,0.6000000238418579
2021,154,동의대학교,대학,사립,부산,A그룹,14061.400390625,2904,98,14061.400390625,15773,0.8999999761581421
2021,155,두원공과대학교,전문대학,사립,경기,B그룹,3784.10009765625,637,53,3784.10009765625,3173,1.2000000476837158
2021,156,디지털서울문화예술대학교,대학,사립,서울,C그룹,0.0,0,0,0.0,3375,0.0
2021,157,루터대학교,대학,사립,경기,C그룹,744.7000122070312,167,16,744.7000122070312,387,1.899999976158142
2021,158,마산대학교,전문대학,사립,경남,A그룹,4360.0,889,41,4360.0,5422,0.800000011920929
2021,159,명신대학교,대학,사립,전남,C그룹,0.0,0,0,0.0,0,0.0
2021,160,명지대학교,대학,사립,서울,A그룹,36199.0,3804,330,36199.0,16343,2.200000047683716
2021,161,명지전문대학,전문대학,사립,서울,A그룹,5568.0,1037,59,5568.0,6578,0.800000011920929
2021,162,목원대학교,대학,사립,대전,B그룹,9275.099609375,1536,66,9275.099609375,7962,1.2000000476837158
2021,163,목포가톨릭대학교,대학,사립,전남,C그룹,1129.0,257,11,1129.0,499,2.299999952316284
2021,164,목포과학대학교,전문대학,사립,전남,B그룹,2943.0,271,5,2943.0,2310,1.2999999523162842
2021,165,문경대학교,전문대학,사립,경북,C그룹,743.0,192,6,743.0,844,0.8999999761581421
2021,166,배재대학교,대학,사립,대전,B그룹,8935.0,1580,78,8935.0,8644,1.0
2021,167,배화여자대학교,전문대학,사립,서울,B그룹,5680.0,495,71,5680.0,2726,2.0999999046325684
2021,168,백석대학교,대학,사립,충남,A그룹,11899.7998046875,2862,161,11899.7998046875,14227,0.800000011920929
2021,169,백석문화대학교,전문대학,사립,충남,A그룹,7538.2001953125,444,75,7538.2001953125,4865,1.5
2021,170,백석예술대학,전문대학,사립,서울,A그룹,0.0,0,0,0.0,0,0.0
2021,171,백제예술대학교,전문대학,사립,전북,C그룹,1238.0,110,11,1238.0,1071,1.2000000476837158
2021,172,베뢰아국제대학원대학교,대학원대학,사립,서울,-,198.0,16,1,198.0,51,3.9000000953674316
2021,173,벽성대학,전문대학,사립,전북,C그룹,0.0,0,0,0.0,0,0.0
2021,174,부산가톨릭대학교,대학,사립,부산,C그룹,5685.7998046875,1162,51,5685.7998046875,3997,1.399999976158142
2021,175,부산경상대학교,전문대학,사립,부산,B그룹,3541.0,700,47,3541.0,2631,1.2999999523162842
2021,176,부산과학기술대학교,전문대학,사립,부산,B그룹,3117.0,590,45,3117.0,3230,1.0
2021,177,부산교육대학교,대학,국립,부산,C그룹,6105.0,725,114,6105.0,2397,2.5
2021,178,부산대학교,대학,국립,부산,A그룹,35855.69921875,5458,296,35855.69921875,27386,1.2999999523162842
2021,179,부산디지털대학교,대학,사립,부산,C그룹,128.3000030517578,45,16,128.3000030517578,2485,0.10000000149011612
2021,180,부산보건대학교,전문대학,사립,부산,B그룹,2587.89990234375,613,42,2587.89990234375,2748,0.8999999761581421
2021,181,부산여자대학교,전문대학,사립,부산,C그룹,5131.0,481,33,5131.0,2434,2.0999999046325684
2021,182,부산예술대학교,전문대학,사립,부산,C그룹,1067.0,80,8,1067.0,682,1.600000023841858
2021,183,부산외국어대학교,대학,사립,부산,B그룹,14731.5,1829,110,14731.5,7975,1.7999999523162842
2021,184,부산장신대학교,대학,사립,경남,C그룹,1041.0,200,13,1041.0,398,2.5999999046325684
2021,185,부천대학교,전문대학,사립,경기,A그룹,5186.60009765625,932,109,5186.60009765625,7386,0.699999988079071
2021,186,삼육대학교,대학,사립,서울,B그룹,7079.89990234375,1400,97,7079.89990234375,5971,1.2000000476837158
2021,187,삼육보건대학교,전문대학,사립,서울,C그룹,1338.0,260,45,1338.0,1348,1.0
2021,188,상명대학교,대학,사립,서울,A그룹,13721.0,2189,220,13721.0,13390,1.0
2021,189,상지대학교,대학,사립,강원,B그룹,13528.099609375,1793,161,13528.099609375,7110,1.899999976158142
2021,190,상지영서대학교,전문대학,사립,강원,B그룹,0.0,0,0,0.0,0,0.0
2021,191,서강대학교,대학,사립,서울,A그룹,16051.0,2761,95,16051.0,11286,1.399999976158142
2021,192,서경대학교,대학,사립,서울,B그룹,9014.2998046875,1565,241,9014.2998046875,6945,1.2999999523162842
2021,193,서남대학교,대학,사립,전북,C그룹,0.0,0,0,0.0,0,0.0
2021,194,서라벌대학교,전문대학,사립,경북,C그룹,974.4000244140625,316,13,974.4000244140625,608,1.600000023841858
2021,195,서영대학교,전문대학,사립,광주,A그룹,2438.0,712,24,2438.0,5018,0.5
2021,196,서울과학기술대학교,대학,국립,서울,A그룹,14177.0,2028,114,14177.0,11785,1.2000000476837158
2021,197,서울과학종합대학원대학교,대학원대학,사립,서울,-,108.0,35,2,108.0,685,0.20000000298023224
2021,198,서울교육대학교,대학,국립,서울,C그룹,4480.0,757,55,4480.0,2911,1.5
2021,199,서울기독대학교,대학,사립,서울,C그룹,613.5,127,12,613.5,650,0.8999999761581421
2021,200,서울대학교,대학,국립,서울,A그룹,79511.0,9578,491,79511.0,27924,2.799999952316284
2021,201,서울디지털대학교,대학,사립,서울,A그룹,0.0,1,1,0.0,10952,0.0
2021,202,서울미디어대학원대학교,대학원대학,사립,서울,-,379.0,76,4,379.0,261,1.5
2021,203,서울벤처대학원대학교,대학원대학,사립,서울,-,33.0,10,4,33.0,258,0.10000000149011612
2021,204,서울불교대학원대학교,대학원대학,사립,서울,-,218.60000610351562,51,3,218.60000610351562,164,1.2999999523162842
2021,205,서울사이버대학교,대학,사립,서울,A그룹,122.0,4,4,122.0,15777,0.0
2021,206,서울사회복지대학원대학교,대학원대학,사립,서울,-,158.0,24,4,158.0,126,1.2999999523162842
2021,207,서울상담심리대학원대학교,대학원대학,사립,서울,-,380.1000061035156,77,6,380.1000061035156,112,3.4000000953674316
2021,208,서울성경신학대학원대학교,대학원대학,사립,서울,-,252.0,73,3,252.0,93,2.700000047683716
2021,209,서울시립대학교,대학,공립,서울,A그룹,16414.69921875,2395,225,16414.69921875,11879,1.399999976158142
2021,210,서울신학대학교,대학,사립,경기,C그룹,4529.0,748,33,4529.0,3016,1.5
2021,211,서울여자간호대학교,전문대학,사립,서울,C그룹,1195.0,327,20,1195.0,918,1.2999999523162842
2021,212,서울여자대학교,대학,사립,서울,B그룹,10449.0,1570,105,10449.0,7361,1.399999976158142
2021,213,서울예술대학교,전문대학,사립,경기,B그룹,1092.0,242,34,1092.0,3147,0.30000001192092896
2021,214,서울외국어대학원대학교,대학원대학,사립,서울,-,73.0,75,0,73.0,182,0.4000000059604645
2021,215,서울장신대학교,대학,사립,경기,C그룹,1805.0,328,37,1805.0,716,2.5
2021,216,서울한영대학교,대학,사립,서울,C그룹,1550.5,243,21,1550.5,920,1.7000000476837158
2021,217,서원대학교,대학,사립,충북,B그룹,7606.7998046875,1136,25,7606.7998046875,6956,1.100000023841858
2021,218,서일대학교,전문대학,사립,서울,A그룹,2519.0,613,37,2519.0,5678,0.4000000059604645
2021,219,서정대학교,전문대학,사립,경기,A그룹,1157.0,306,12,1157.0,6197,0.20000000298023224
2021,220,서해대학,전문대학,사립,전북,C그룹,0.0,0,0,0.0,0,0.0
2021,221,선교청대학교,대학,사립,충남,C그룹,0.0,0,0,0.0,0,0.0
2021,222,선린대학교,전문대학,사립,경북,C그룹,1140.0,385,12,1140.0,2151,0.5
2021,223,선문대학교,대학,사립,충남,B그룹,12967.0,2105,150,12967.0,9619,1.2999999523162842
2021,224,선학유피대학원대학교,대학원대학,사립,경기,-,1657.0,69,13,1657.0,77,21.5
2021,225,성결대학교,대학,사립,경기,B그룹,8693.7998046875,1175,103,8693.7998046875,5774,1.5
2021,226,성공회대학교,대학,사립,서울,C그룹,4071.5,596,40,4071.5,2390,1.7000000476837158
2021,227,성균관대학교,대학,사립,서울,A그룹,41619.69921875,6493,651,41619.69921875,27431,1.5
2021,228,성산효대학원대학교,대학원대학,사립,인천,-,213.0,20,4,213.0,177,1.2000000476837158
2021,229,성서침례대학원대학교,대학원대학,사립,경기,-,528.0,115,2,528.0,54,9.800000190734863
