YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_20A,BG3Y_MCS_21B,BG3Y_MCS_22C,BG3Y_BG3Y,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_OEU_EDC,UE_OEU_EP,UE_REU_EDC,UE_REU_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_OE_PTH,SES_OE_PTC,SES_OE2_PTH,SES_OE2_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2022,1,서울대학교,86.5,200,대학,국립,서울,A그룹,768131,1717857,2485988,2169296,2997720,5167016,90,111,813159,0,201,813159,1203,1730,2933,37931,39271,77202,54115,20128,5167016,27924,185.0,77202,5167016,1.5,79511.0,9581,373,79511.0,28266,2.799999952316284,965619014439,1896900929,864804158,47325240,7339239800,1891159253,0,5725449,12045154829,941057327000,1750400000,861304350,106600000,7862766860,1348589585,0,40260000,11969920795,12045154829,27924,431354.9,12045154829,965619014439,1.2,13433164000,13402274468,12045154829,-5.2,27924,16045,11879,2256,3546,2036,17647,53409,28266,15870,12396,2278,3804,3222,8297,45867,0,1282773,10115,9593,1326,3188,2338,26560,69005,104078,19294,30870,72700,295947,0,0,26286,28783,35908,3182,2104,3497,7183,336,5783,6,553,173083,27924,6.199999809265137,1282773,27924,45.900001525878906,26,48.0,0,7,81.0,0,0,0,0.0,0.0,1,4.0,1,0.0,6.0,0,0,0,0,0,27,52.0,1,7.0,87.0,0,0,0,0.0,0.0,27,52.0,1,7.0,87.0,828.0,173,1876.0,543,74.0,7.0,6.0,0.0,28266,3.0,74.0,6.0,28266,2.799999952316284,2704.0,83.0,6.0,30.39999961853028
2022,2,고려대학교,79.6,50,대학,사립,서울,A그룹,671164,1107752,1778916,1523649,1681306,3204955,126,106,1066326,8,240,1066326,873,1208,2081,37021,12635,49656,38262,29185,3204955,29572,108.4000015258789,49656,3204955,1.600000023841858,49714.5,7176,254,49714.5,29445,1.7000000476837158,580069756428,1039468052,528984736,543070,4608216379,1212530784,0,284862091,7674605112,656501698000,1016461550,573000000,2800000,4694236000,1139232000,0,294615450,7720345000,7674605112,29572,259522.7,7674605112,580069756428,1.3,7374375959,7335666765,7674605112,2.0,29572,20047,9525,1504,2769,1181,1658,36684,29445,19598,9847,1511,2929,1150,1740,36775,0,2261357,7719,3345,1013,881,401,13359,98358,84360,24546,14136,30881,252281,0,0,17525,30753,6112,2717,3616,5810,9256,551,3873,1,115,182718,29572,6.199999809265137,2261357,29572,76.5,12,11.0,1,3,27.0,0,0,0,0.0,0.0,0,12.0,2,3.0,17.0,0,0,0,0,0,12,23.0,3,6.0,44.0,0,0,0,0.0,0.0,12,23.0,3,6.0,44.0,1312.0999755859375,243,535.7999877929688,121,24.0,3.0,14.0,3.0,29445,1.2999999523162842,24.0,14.0,29445,1.2999999523162842,1847.9000244140625,27.0,17.0,42.0
2022,3,연세대학교,79.5,272,대학,사립,서울,A그룹,903052,964121,1867173,1557490,1306902,2864392,74,88,450622,1,163,450622,753,588,1341,123318,15515,138833,128170,1348,2864392,30796,93.0,138833,2864392,5.099999904632568,68830.1015625,7126,788,68830.1015625,31135,2.200000047683716,845777632375,1139194611,398184602,52617970,5465956819,1572142971,0,114193306,8742290279,921503664000,1150000000,426824000,50000000,5580000000,1640000000,0,120000000,8966824000,8742290279,30796,283877.5,8742290279,845777632375,1.0,8630570458,8086493184,8742290279,0.9,30796,19016,11780,1729,3451,1189,7111,44276,31135,19239,11896,1731,3695,1162,7223,44946,0,1145093,7953,5236,1625,2253,784,17851,72524,90374,36672,26103,113264,338937,0,0,19680,15290,10390,3921,6533,2394,8014,354,12662,52,5246,162898,30796,5.300000190734863,1145093,30796,37.20000076293945,10,21.0,0,4,35.0,1,1,0,0.0,2.0,0,16.0,4,5.0,25.0,0,0,0,0,0,10,37.0,4,9.0,60.0,1,1,0,0.0,2.0,11,38.0,4,9.0,62.0,2076.0,523,708.0,151,33.0,4.0,20.0,5.0,31135,1.7999999523162842,33.0,20.0,31135,1.7000000476837158,2784.0,39.0,26.0,42.79999923706055
2022,4,성균관대학교,78.9,227,대학,사립,서울,A그룹,749147,570024,1319171,1367083,839421,2206504,49,64,692794,6,119,692794,255,119,374,45057,5468,50525,28977,1599,2206504,27431,80.4000015258789,50525,2206504,2.299999952316284,41619.69921875,6494,671,41619.69921875,26851,1.600000023841858,537578103479,873271987,309329265,7575580,2299184578,1521756837,0,120421766,5131540013,554930473000,801100000,450000000,10000000,2522265000,1393818000,0,100400000,5277583000,5131540013,27431,187070.8,5131540013,537578103479,1.0,5209981556,4566363173,5131540013,0.0,27431,18882,8549,1496,2060,423,21060,52470,26851,18298,8553,1525,2179,479,17626,48660,0,2674517,8594,3792,681,241,1059,14367,69905,50126,16264,3740,66521,206556,0,0,12180,8731,4835,1832,892,2220,2210,107,4166,0,0,120031,27431,4.400000095367432,2674517,27431,97.5,4,5.0,0,3,12.0,0,0,0,0.0,0.0,1,16.0,10,5.0,32.0,0,0,0,0,0,5,21.0,10,8.0,44.0,0,0,0,0.0,0.0,5,21.0,10,8.0,44.0,619.0,167,780.0,179,9.0,3.0,27.0,5.0,26851,1.2999999523162842,9.0,27.0,26851,1.2999999523162842,1399.0,13.0,32.0,31.100000381469727
2022,5,한국과학기술원,78.0,373,대학,국립,대전,A그룹,307498,396437,703935,426908,457848,884756,71,68,465713,2,141,465713,89,14,103,30972,5715,36687,31970,164,884756,10824,81.69999694824219,36687,884756,4.300000190734863,28245.900390625,2820,102,28245.900390625,11059,2.5999999046325684,985997483430,861391388,33872112,9598400,5760136013,1496105037,0,259587455,8420690405,1110521836979,750000000,50420000,30000000,5377923000,1873764000,0,311100000,8393207000,8420690405,10824,777964.7,8420690405,985997483430,0.9,7699773967,8290533747,8420690405,4.6,10824,3619,7205,646,645,2318,605,15038,11059,3665,7394,666,671,2379,637,15412,0,214524,1708,2867,315,801,23,5714,13487,21918,3060,9707,58826,106998,0,0,4254,4993,1678,472,108,235,994,12,104,3,112,35405,10824,3.299999952316284,214524,10824,19.799999237060547,4,11.0,0,5,20.0,0,0,0,0.0,0.0,2,8.0,0,5.0,15.0,0,0,0,0,0,6,19.0,0,10.0,35.0,0,0,0,0.0,0.0,6,19.0,0,10.0,35.0,792.0,162,222.5,37,15.0,5.0,10.0,5.0,11059,2.700000047683716,15.0,10.0,11059,2.299999952316284,1014.5,20.0,16.0,28.200000762939453
2022,6,한양대학교,76.6,443,대학,사립,서울,A그룹,611016,462345,1073361,1117764,663973,1781737,47,55,402416,4,106,402416,374,175,549,28452,9179,37631,32300,5449,1781737,23581,75.5999984741211,37631,1781737,2.200000047683716,26082.0,3717,284,26082.0,23338,1.100000023841858,387123820170,765082180,86647342,9934230,3886303784,1076408815,0,48818919,5873195270,396555111227,786574208,89081365,10213294,3995474474,1106646362,0,50190298,6038180001,5873195270,23581,249064.7,5873195270,387123820170,1.5,5313465774,5309410332,5873195270,5.3,23581,15800,7781,1067,2123,714,25952,53437,23338,15448,7890,1138,2234,745,25140,52595,0,578573,5047,3126,614,523,555,9865,59931,41980,15301,8906,14806,140924,0,0,2130,10903,2854,170,271,491,1348,91,1896,17,2163,101911,23581,4.300000190734863,578573,23581,24.5,8,8.0,2,0,18.0,0,0,0,0.0,0.0,0,9.0,0,2.0,11.0,0,0,0,0,0,8,17.0,2,2.0,29.0,0,0,0,0.0,0.0,8,17.0,2,2.0,29.0,147.0,35,882.4000244140625,229,18.0,0.0,9.0,2.0,23338,1.100000023841858,18.0,9.0,23338,1.2000000476837158,1029.4000244140625,18.0,8.0,39.59999847412109
2022,7,경희대학교,75.6,45,대학,사립,서울,A그룹,967591,404852,1372443,2000747,631563,2632310,68,45,453983,6,119,453983,39,38,77,26765,4814,31579,28205,6143,2632310,34454,76.4000015258789,31579,2632310,1.2000000476837158,37855.30078125,4893,230,37855.30078125,34414,1.100000023841858,473511323201,643294614,10821364,2345690,4289817724,1140443549,0,325671132,6412394073,488908939000,604186916,11500000,2400000,3429000000,1130113000,0,183000000,5360199916,6412394073,34454,186114.6,6412394073,473511323201,1.4,5460519881,5415872525,6412394073,8.8,34454,26582,7872,1361,2219,1152,23085,62271,34414,25998,8416,1361,2365,1110,23544,62794,0,673552,5543,2120,858,573,2533,11627,60832,29238,16879,11439,80964,199352,0,0,24679,17487,3782,544,1270,1018,1510,81,2379,249,3359,90070,34454,2.5999999046325684,673552,34454,19.5,11,6.0,1,1,19.0,0,0,0,0.0,0.0,0,20.0,1,0.0,21.0,0,0,0,0,0,11,26.0,2,1.0,40.0,0,0,0,0.0,0.0,11,26.0,2,1.0,40.0,1045.5,315,308.0,64,18.0,1.0,21.0,0.0,34414,1.0,18.0,21.0,34414,1.100000023841858,1353.5,19.0,22.0,33.0
2022,8,포항공과대학교,75.5,367,대학,사립,경북,C그룹,89865,179590,269455,114065,265175,379240,41,22,630565,0,63,630565,32,31,63,2987,242,3229,2901,657,379240,3298,115.0,3229,379240,0.8999999761581421,16086.7001953125,1001,25,16086.7001953125,3305,4.900000095367432,220655999466,89861590,45226210,4200000,2586213128,310530014,0,168704580,3204735522,245919739000,65500000,47095650,1320000,2532679972,307635834,0,136493085,3090724541,3204735522,3298,971720.9,3204735522,220655999466,1.5,4126025557,2903606937,3204735522,-9.6,3298,1352,1946,287,202,1013,3474,8274,3305,1285,2020,283,203,1061,3336,8188,0,158751,477,852,103,137,343,1912,3401,5941,1673,2276,3262,16553,0,0,6,109,73,32,1,366,613,0,0,14,586,9342,3298,2.799999952316284,158751,3298,48.09999847412109,1,5.0,1,0,7.0,0,0,0,0.0,0.0,0,1.0,1,4.0,6.0,0,0,0,0,0,1,6.0,2,4.0,13.0,0,0,0,0.0,0.0,1,6.0,2,4.0,13.0,102.5,19,531.0,113,7.0,0.0,2.0,4.0,3305,3.200000047683716,7.0,2.0,3305,2.700000047683716,633.5,8.0,8.0,39.59999847412109
2022,9,경북대학교,75.1,33,대학,국립,대구,A그룹,866000,706305,1572305,2272508,1155065,3427573,51,57,554416,3,111,554416,830,572,1402,38195,7183,45378,23325,24830,3427573,27380,125.1999969482422,45378,3427573,1.2999999523162842,41449.19921875,5620,190,41449.19921875,26917,1.5,373713606853,927081330,1161405120,3795360,2121963190,1069953830,0,246023220,5530222050,347107740000,792640000,1186560000,3800000,1980000000,726800000,0,34200000,4724000000,5530222050,27380,201980.4,5530222050,373713606853,1.5,5085824740,4958487940,5530222050,4.5,27380,21556,5824,1360,1752,1073,11312,42877,26917,21028,5889,1392,1819,1055,13432,44615,0,2637905,6452,1612,890,603,5718,15275,55261,19290,17208,9233,122427,223419,0,0,20496,17157,679,979,1292,1712,7508,192,3017,0,0,74551,27380,2.700000047683716,2637905,27380,96.3000030517578,14,13.5,0,3,30.5,0,0,0,0.0,0.0,2,11.5,1,1.0,15.5,0,0,0,0,0,16,25.0,1,4.0,46.0,0,0,0,0.0,0.0,16,25.0,1,4.0,46.0,1422.699951171875,318,1250.0999755859375,366,27.5,3.0,14.5,1.0,26917,1.600000023841858,27.5,14.5,26917,1.600000023841858,2672.800048828125,37.0,11.0,55.70000076293945
2022,10,울산대학교,75.0,297,대학,사립,울산,A그룹,409278,203666,612944,694350,459293,1153643,55,46,86854,0,101,86854,204,12,216,10328,2014,12342,10396,0,1153643,13888,83.0999984741211,12342,1153643,1.100000023841858,22111.69921875,3316,110,22111.69921875,13264,1.7000000476837158,253764179216,251277001,7241380,5023280,3039847157,389272174,0,184218123,3876879115,226410871000,387777000,10000000,0,3312530000,364227000,0,2500000,4077034000,3876879115,13888,279153.2,3876879115,253764179216,1.5,3915786715,3806856860,3876879115,-0.5,13888,11888,2000,1149,1076,331,13516,29960,13264,11361,1903,1131,1098,318,10686,26497,0,141663,2880,338,389,306,415,4328,28262,3383,6056,5512,9791,53004,0,0,663,3441,406,113,268,784,614,65,2504,8,1621,31645,13888,2.299999952316284,141663,13888,10.199999809265137,4,11.0,0,0,15.0,0,0,0,0.0,0.0,0,5.0,0,0.0,5.0,0,0,0,0,0,4,16.0,0,0.0,20.0,0,0,0,0.0,0.0,4,16.0,0,0.0,20.0,233.1999969482422,74,184.0,38,15.0,0.0,5.0,0.0,13264,1.399999976158142,15.0,5.0,13264,1.5,417.2000122070313,16.0,6.0,19.0
2022,11,전남대학교,74.9,321,대학,국립,광주,A그룹,860470,481364,1341834,1333253,603440,1936693,42,43,245340,0,85,245340,1154,267,1421,27942,10199,38141,24767,104445,1936693,23752,81.5,38141,1936693,2.0,40393.0,5351,154,40393.0,23488,1.7000000476837158,384735317253,564546613,98250276,7123730,2070207179,709363910,0,0,3449491708,281001610000,605520000,100000000,11500000,2049711600,712388400,0,0,3479120000,3449491708,23752,145229.5,3449491708,384735317253,0.9,3418003087,3361102344,3449491708,0.5,23752,18959,4793,1262,1374,902,4596,31886,23488,18766,4722,1285,1382,916,4572,31643,0,673461,7097,2145,1062,612,1283,12199,57063,27311,20822,9713,16869,131778,0,0,6615,9455,1088,815,644,708,312,219,2267,61,1302,84374,23752,3.5999999046325684,673461,23752,28.39999961853028,12,25.0,0,1,38.0,0,0,0,0.0,0.0,0,5.0,0,0.0,5.0,0,0,0,0,0,12,30.0,0,1.0,43.0,0,0,0,0.0,0.0,12,30.0,0,1.0,43.0,2183.199951171875,826,481.1000061035156,143,37.0,1.0,5.0,0.0,23488,1.7999999523162842,37.0,5.0,23488,1.7999999523162842,2664.300048828125,37.0,5.0,63.400001525878906
2022,12,부산대학교,74.7,178,대학,국립,부산,A그룹,851843,446419,1298262,1683113,848206,2531319,44,58,637525,5,107,637525,506,251,757,45971,9671,55642,38612,76731,2531319,27386,92.4000015258789,55642,2531319,2.200000047683716,35855.69921875,4645,144,35855.69921875,26772,1.2999999523162842,410450562159,950687800,424758570,14000000,2907018950,901048710,0,79668230,5277182260,310173021000,960000000,132730000,14000000,3160911000,901122000,0,87000000,5255763000,5277182260,27386,192696.4,5277182260,410450562159,1.3,5753244780,5601337370,5277182260,-4.2,27386,19880,7506,1375,1961,937,1805,33464,26772,19258,7514,1413,1980,930,1831,32926,0,1041735,7866,2735,1134,1183,1104,14022,88954,41758,35502,24426,27224,217864,0,0,9404,9794,445,583,1242,2562,2512,88,2795,507,5249,130712,27386,4.800000190734863,1041735,27386,38.0,12,33.0,0,1,46.0,0,0,0,0.0,0.0,0,3.0,0,3.0,6.0,0,0,0,0,0,12,36.0,0,4.0,52.0,0,0,0,0.0,0.0,12,36.0,0,4.0,52.0,1099.5,224,1057.699951171875,316,45.0,1.0,3.0,3.0,26772,1.899999976158142,45.0,3.0,26772,1.7999999523162842,2157.199951171875,42.0,7.0,44.0
2022,13,울산과학기술원,74.1,295,대학,국립,울산,C그룹,99999,145192,245191,112097,157716,269813,37,21,376361,0,58,376361,0,0,0,5955,456,6411,6322,1166,269813,4041,66.80000305175781,6411,269813,2.400000095367432,10657.0,1021,107,10657.0,3995,2.700000047683716,299693764153,60000000,1744700,2997000,1172658177,405476379,0,4222938,1647099194,310267993593,130000000,0,3000000,1315000000,435000000,0,10000000,1893000000,1647099194,4041,407596.9,1647099194,299693764153,0.5,1580502001,1520445897,1647099194,2.3,4041,1933,2108,311,155,437,186,5130,3995,1754,2241,324,163,451,112,5045,0,81089,668,675,103,339,41,1826,6309,4531,897,3217,3330,18284,0,0,346,2029,1646,69,69,468,444,0,0,15,242,10840,4041,2.700000047683716,81089,4041,20.100000381469727,1,2.0,0,1,4.0,0,0,0,0.0,0.0,0,4.0,0,4.0,8.0,0,0,0,0,0,1,6.0,0,5.0,12.0,0,0,0,0.0,0.0,1,6.0,0,5.0,12.0,0.0,0,15.0,3,3.0,1.0,4.0,4.0,3995,2.299999952316284,3.0,4.0,3995,1.7999999523162842,15.0,5.0,6.0,1.399999976158142
2022,14,이화여자대학교,73.4,308,대학,사립,서울,A그룹,627658,536806,1164464,992515,748314,1740829,37,88,436967,8,133,436967,533,711,1244,44364,3708,48072,43470,53150,1740829,21515,80.9000015258789,48072,1740829,2.799999952316284,22120.0,3523,361,22120.0,21080,1.0,400447130210,718232950,678045695,5523463,2420641312,898585729,0,72836338,4793865487,416773288000,761000000,708000000,5000000,2387000000,903840000,0,61000000,4825840000,4793865487,21515,222815.0,4793865487,400447130210,1.2,4815531565,4822451661,4793865487,-0.2,21515,15928,5587,975,1878,644,9536,34548,21080,15281,5799,989,2000,660,9363,34092,0,344595,5234,3555,874,417,2346,12426,44317,62582,21336,8510,99898,236643,0,0,829,2182,2142,2356,2428,4076,7696,84,1778,363,5904,106899,21515,5.0,344595,21515,16.0,12,8.0,0,1,21.0,0,0,0,0.0,0.0,0,10.0,12,2.0,24.0,0,0,0,0,0,12,18.0,12,3.0,45.0,0,0,0,0.0,0.0,12,18.0,12,3.0,45.0,1115.5,222,443.0,98,20.0,1.0,22.0,2.0,21080,1.899999976158142,20.0,22.0,21080,2.0,1558.5,21.0,23.0,35.400001525878906
2022,15,전북대학교,72.9,324,대학,국립,전북,A그룹,621867,176051,797918,1439740,430795,1870535,44,39,138708,6,89,138708,756,375,1131,24532,9491,34023,25608,0,1870535,21919,85.30000305175781,34023,1870535,1.899999976158142,40489.0,3952,368,40489.0,21391,1.899999976158142,309658394066,294166240,484582840,10288750,1647341728,708956900,0,61040000,3206376458,292489000000,375000000,60000000,0,1700000000,758000000,0,62000000,2955000000,3206376458,21919,146283.0,3206376458,309658394066,1.0,3439279215,3215297327,3206376458,-3.4,21919,18153,3766,1060,1535,751,3916,29181,21391,17561,3830,1083,1623,757,3393,28247,0,388978,8659,1770,671,387,921,12408,46215,15265,9649,4674,10462,86265,0,0,4543,5649,1029,682,451,2389,1838,23,734,174,4750,61480,21919,2.799999952316284,388978,21919,17.700000762939453,11,21.0,1,1,34.0,0,0,0,0.0,0.0,1,1.0,0,0.0,2.0,0,0,0,0,0,12,22.0,1,1.0,36.0,0,0,0,0.0,0.0,12,22.0,1,1.0,36.0,741.5,141,1590.0,435,33.0,1.0,2.0,0.0,21391,1.7000000476837158,33.0,2.0,21391,1.600000023841858,2331.5,34.0,2.0,64.80000305175781
2022,16,가톨릭대학교,72.8,6,대학,사립,경기,A그룹,444554,260607,705161,741972,411845,1153817,96,68,463407,5,169,463407,974,226,1200,21391,3161,24552,19942,44232,1153817,10444,110.5,24552,1153817,2.200000047683716,17684.0,3119,185,17684.0,10504,1.7000000476837158,318538541370,317907532,62877296,99805365,3018604464,629829957,0,68635336,4197659950,256736932000,307500000,68100000,150500000,3128757360,675357200,0,84671440,4414886000,4197659950,10444,401920.7,4197659950,318538541370,1.3,4088410834,3890966903,4197659950,1.5,10444,8122,2322,1196,1552,516,4381,18089,10504,7928,2576,1215,1642,526,4018,17905,0,570442,3146,572,1696,170,474,6058,41699,16905,24043,4079,11408,98134,0,0,4944,6985,3539,617,1654,644,2353,96,1213,2,190,58604,10444,5.599999904632568,570442,10444,54.59999847412109,4,12.0,1,6,23.0,0,0,0,0.0,0.0,0,1.5,0,0.0,1.5,0,0,0,0,0,4,13.5,1,6.0,24.5,0,0,0,0.0,0.0,4,13.5,1,6.0,24.5,346.5,46,212.5,37,17.0,6.0,1.5,0.0,10504,2.200000047683716,17.0,1.5,10504,1.7999999523162842,559.0,23.0,1.5,22.799999237060547
2022,17,중앙대학교,72.8,339,대학,사립,서울,A그룹,533171,607638,1140809,1495036,840956,2335992,49,79,710820,2,130,710820,135,149,284,67136,3222,70358,59445,12824,2335992,29731,78.5999984741211,70358,2335992,3.0999999046325684,33173.80078125,5409,243,33173.80078125,29052,1.100000023841858,402330035390,1238956648,24879370,29987190,1939814318,934677814,0,142093525,4310408865,400050686000,892000000,558500000,28000000,1959506209,989560464,0,191202327,4618769000,4310408865,29731,144980.3,4310408865,402330035390,1.1,3497495483,4071265225,4310408865,11.1,29731,23938,5793,1101,1418,706,17429,50385,29052,23075,5977,1124,1479,695,17076,49426,0,1223033,5123,1576,578,360,1495,9132,47507,23327,12798,7799,68038,159469,0,0,2530,10181,1022,86,93,915,424,186,3423,10,1274,70834,29731,2.400000095367432,1223033,29731,41.09999847412109,5,11.0,0,1,17.0,0,0,0,0.0,0.0,1,18.0,1,0.0,20.0,0,0,0,0,0,6,29.0,1,1.0,37.0,0,0,0,0.0,0.0,6,29.0,1,1.0,37.0,842.5,208,1012.5,225,16.0,1.0,20.0,0.0,29052,1.100000023841858,16.0,20.0,29052,1.2000000476837158,1855.0,18.0,21.0,47.59999847412109
