YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCC,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR
2016,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,5828,0,5828,8652,0,8652,0,0,0,0,0,0,0,0,0,182,196,378,221,1284,8652,311,27.799999237060547,378,8652,4.599999904632568
2016,2,가야대학교,대학,사립,경남,C그룹,86403,26005,112408,143413,28008,171421,1,3,23262,0,4,25601,1553,60,1613,17651,1558,19209,17972,0,171421,2718,63.09999847412109,19209,171421,12.600000381469728
2016,3,가천대학교,대학,사립,경기,A그룹,318707,126005,444712,796250,167803,964053,29,35,19406,0,64,79047,155,1,156,27591,5101,32692,15125,0,964053,20737,46.5,32692,964053,3.5
2016,4,가톨릭관동대학교,대학,사립,강원,B그룹,201222,141829,343051,469488,195806,665294,6,15,57554,0,21,85238,412,68,480,13103,2482,15585,10992,0,665294,9332,71.30000305175781,15585,665294,2.400000095367432
2016,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,33846,4171,38017,47233,4625,51858,0,14,2295,0,14,22214,89,1,90,3424,726,4150,3743,175,51858,536,96.8000030517578,4150,51858,8.699999809265137
2016,6,가톨릭대학교,대학,사립,경기,A그룹,377940,193656,571596,705626,345897,1051523,76,68,45626,0,144,254717,2702,956,3658,21187,7200,28387,17137,398,1051523,10881,96.5999984741211,28387,1051523,2.799999952316284
2016,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,57676,2312,59988,94199,4067,98266,3,4,8458,0,7,13865,57,0,57,2689,633,3322,2376,0,98266,1975,49.79999923706055,3322,98266,3.5
2016,8,감리교신학대학교,대학,사립,서울,C그룹,50445,42813,93258,79485,56528,136013,4,2,1601,0,6,7788,114,38,152,4387,510,4897,4176,0,136013,1576,86.30000305175781,4897,136013,3.700000047683716
2016,9,강남대학교,대학,사립,경기,B그룹,246562,78411,324973,361278,122947,484225,7,7,8655,0,14,31588,126,75,201,8674,429,9103,5438,0,484225,7325,66.0999984741211,9103,484225,1.899999976158142
2016,10,강동대학교,전문대학,사립,충북,B그룹,43080,339,43419,65016,375,65391,1,2,3989,0,3,9622,95,1,96,4607,38,4645,3290,0,65391,4027,16.200000762939453,4645,65391,7.599999904632568
2016,11,강릉영동대학교,전문대학,사립,강원,B그룹,39676,2117,41793,61764,2935,64699,1,1,4843,0,2,8918,206,0,206,4599,13,4612,2417,0,64699,3008,21.5,4612,64699,7.699999809265137
2016,12,강서대학교,대학,사립,서울,C그룹,65018,17746,82764,82224,18996,101220,3,11,10111,0,14,36611,212,37,249,2337,1928,4265,4247,30,101220,1604,63.09999847412109,4265,101220,4.400000095367432
2016,13,강원관광대학교,전문대학,사립,강원,C그룹,30813,231,31044,40210,266,40476,1,0,992,0,1,4488,70,0,70,1547,474,2021,2000,0,40476,1351,30.0,2021,40476,5.300000190734863
2016,14,강원대학교,대학,국립,강원,A그룹,789557,182535,972092,1343948,329276,1673224,42,34,28180,0,76,206290,1866,1209,3075,38370,6746,45116,33555,35,1673224,23947,69.9000015258789,45116,1673224,2.799999952316284
2016,15,강원도립대학교,전문대학,공립,강원,C그룹,54096,1343,55439,54199,1343,55542,0,0,3965,0,0,3965,62,0,62,2804,932,3736,3736,132,55542,894,62.09999847412109,3736,55542,7.199999809265137
2016,16,개신대학원대학교,대학원대학,사립,서울,-,10173,6727,16900,14293,8839,23132,0,0,0,0,0,0,59,3,62,191,628,819,773,0,23132,134,172.60000610351562,819,23132,3.700000047683716
2016,17,거제대학교,전문대학,사립,경남,C그룹,46527,1774,48301,61936,1869,63805,1,1,9710,0,2,13785,81,0,81,2891,186,3077,2676,4,63805,1566,40.70000076293945,3077,63805,5.099999904632568
2016,18,건국대학교,대학,사립,서울,A그룹,462694,154147,616841,1056986,236893,1293879,25,34,39435,0,59,70842,1006,209,1215,23713,5828,29541,18535,16837,1293879,19902,65.0,29541,1293879,2.299999952316284
2016,19,건국대학교(글로컬),대학,사립,충북,B그룹,243841,59098,302939,461091,95737,556828,10,13,9789,0,23,34019,218,32,250,14634,716,15350,11011,0,556828,8761,63.59999847412109,15350,556828,2.799999952316284
2016,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2016,21,건신대학원대학교,대학원대학,사립,대전,-,10891,2995,13886,15990,4662,20652,0,1,0,0,1,308,44,7,51,360,41,401,356,0,20652,148,139.5,401,20652,2.0
2016,22,건양대학교,대학,사립,충남,B그룹,167096,36683,203779,266653,131462,398115,3,14,9265,0,17,63515,130,0,130,13785,1089,14874,9452,0,398115,8593,46.29999923706055,14874,398115,3.900000095367432
2016,23,경기과학기술대학교,전문대학,사립,경기,A그룹,1,1,2,66047,8124,74171,2,0,6092,0,2,8283,165,58,223,3953,300,4253,3742,0,74171,4483,16.5,4253,74171,6.099999904632568
2016,24,경기대학교,대학,사립,경기,A그룹,561754,78451,640205,1063341,161116,1224457,23,19,22164,0,42,98264,896,125,1021,29105,9078,38183,27328,0,1224457,16377,74.80000305175781,38183,1224457,3.200000047683716
2016,25,경남대학교,대학,사립,경남,A그룹,435160,96812,531972,665033,124768,789801,22,24,173074,0,46,219646,702,124,826,15225,4141,19366,18233,0,789801,13489,58.59999847412109,19366,789801,2.5
2016,26,경남도립거창대학,전문대학,공립,경남,C그룹,27453,849,28302,39363,906,40269,0,0,1853,0,0,1874,15,0,15,1206,0,1206,878,0,40269,889,45.29999923706055,1206,40269,3.0999999046325684
2016,27,경남도립남해대학,전문대학,공립,경남,C그룹,30277,498,30775,36538,519,37057,0,0,318,0,0,337,40,0,40,1389,0,1389,1181,0,37057,848,43.70000076293945,1389,37057,3.900000095367432
2016,28,경남정보대학교,전문대학,사립,부산,A그룹,105427,6452,111879,182845,7347,190192,2,2,6872,0,4,18203,171,2,173,7267,2100,9367,5800,0,190192,6853,27.799999237060547,9367,190192,5.199999809265137
2016,29,경동대학교,대학,사립,강원,B그룹,94948,11949,106897,177707,21042,198749,2,7,24282,0,9,35437,247,1,248,21836,11406,33242,14484,0,198749,7240,27.5,33242,198749,20.100000381469727
2016,30,경민대학교,전문대학,사립,경기,B그룹,76635,6114,82749,122315,8034,130349,5,2,5728,0,7,11675,126,25,151,5251,562,5813,3843,1816,130349,4661,28.0,5813,130349,4.699999809265137
2016,31,경복대학교,전문대학,사립,경기,A그룹,58089,2105,60194,64004,3635,67639,4,0,4357,0,4,10998,166,0,166,11413,274,11687,8009,0,67639,6350,10.699999809265137,11687,67639,20.899999618530277
2016,32,경북과학대학교,전문대학,사립,경북,C그룹,45345,11804,57149,69354,13741,83095,2,0,2523,0,2,8102,516,0,516,1969,492,2461,2159,0,83095,1902,43.70000076293945,2461,83095,3.0999999046325684
2016,33,경북대학교,대학,국립,대구,A그룹,888976,465847,1354823,2212352,963742,3176094,32,55,155310,0,87,202402,1468,969,2437,37862,24706,62568,45233,0,3176094,30296,104.8000030517578,62568,3176094,2.0
2016,34,경북보건대학교,전문대학,사립,경북,C그룹,33904,1209,35113,40297,1444,41741,2,1,5885,0,3,10176,38,2,40,1516,293,1809,1530,0,41741,1300,32.099998474121094,1809,41741,4.5
2016,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2016,36,경북전문대학교,전문대학,사립,경북,B그룹,75304,42514,117818,102211,48959,151170,1,1,3557,0,2,7631,159,3,162,3006,1045,4051,3505,16000,151170,2562,59.0,4051,151170,2.799999952316284
2016,37,경상국립대학교,대학,국립,경남,A그룹,630717,285920,916637,1298585,437317,1735902,38,33,160546,0,71,205134,922,559,1481,34050,23239,57289,42868,35,1735902,22867,75.9000015258789,57289,1735902,3.400000095367432
2016,38,경성대학교,대학,사립,부산,A그룹,384349,153515,537864,706331,204347,910678,14,30,46154,0,44,96222,723,74,797,21805,6087,27892,16741,67,910678,13468,67.5999984741211,27892,910678,3.200000047683716
2016,39,경안대학원대학교,대학원대학,사립,경북,-,11,1,12,7775,305,8080,0,0,0,0,0,0,5,0,5,58,139,197,156,0,8080,73,110.6999969482422,197,8080,2.5
2016,40,경운대학교,대학,사립,경북,C그룹,140519,18968,159487,254516,26872,281388,3,5,19881,0,8,28498,334,60,394,9529,9557,19086,10651,10,281388,5066,55.5,19086,281388,7.300000190734863
2016,41,경인교육대학교,대학,국립,인천,C그룹,179664,11196,190860,494326,18886,513212,8,2,5307,0,10,20852,186,20,206,19197,2008,21205,7747,16825,513212,4246,120.9000015258789,21205,513212,4.300000190734863
2016,42,경인여자대학교,전문대학,사립,인천,B그룹,84018,1051,85069,127598,1170,128768,1,4,14657,0,5,19682,56,17,73,8646,4268,12914,8423,0,128768,4894,26.299999237060547,12914,128768,11.100000381469728
2016,43,경일대학교,대학,사립,경북,B그룹,155809,94876,250685,321609,113063,434672,6,4,51237,0,10,60839,162,2,164,12435,1213,13648,6730,9,434672,7373,59.0,13648,434672,3.200000047683716
2016,44,경찰대학,기타,기타,충남,-,129699,44156,173855,129699,44156,173855,0,8,1486,0,8,1486,196,61,257,4925,1406,6331,6331,0,173855,0,0.0,6331,173855,3.799999952316284
2016,45,경희대학교,대학,사립,서울,A그룹,906658,443663,1350321,1976777,589719,2566496,60,43,240374,0,103,378480,585,327,912,20741,8733,29474,22688,10340,2566496,33327,77.0,29474,2566496,1.2000000476837158
2016,46,계명대학교,대학,사립,대구,A그룹,506544,321686,828230,1499914,407395,1907309,31,46,52674,0,77,111142,1678,411,2089,36668,8573,45241,24764,10,1907309,24537,77.69999694824219,45241,1907309,2.400000095367432
2016,47,계명문화대학교,전문대학,사립,대구,A그룹,146484,8515,154999,222614,12605,235219,4,5,10267,0,9,20495,139,5,144,7804,2325,10129,8277,12170,235219,5179,45.400001525878906,10129,235219,4.5
2016,48,계약신학대학원대학교,대학원대학,사립,경기,-,13724,4122,17846,14602,4168,18770,0,0,691,0,0,691,10,0,10,158,0,158,84,0,18770,68,276.0,158,18770,0.800000011920929
2016,49,계원예술대학교,전문대학,사립,경기,B그룹,70109,32039,102148,79478,32850,112328,2,5,9955,0,7,16672,221,115,336,4763,21,4784,4143,0,112328,2856,39.29999923706055,4784,112328,4.400000095367432
2016,50,고려대학교,대학,사립,서울,A그룹,562082,738336,1300418,1451193,1326832,2778025,90,110,301095,0,200,370858,1775,1765,3540,34511,11457,45968,31334,2654,2778025,29540,94.0,45968,2778025,1.7000000476837158
2016,51,고려대학교(세종),대학,사립,세종,B그룹,256118,62155,318273,411672,96721,508393,10,9,7730,0,19,11032,342,17,359,3178,4652,7830,7193,45,508393,7768,65.4000015258789,7830,508393,1.600000023841858
2016,52,고려사이버대학교,대학,사립,서울,A그룹,3768,0,3768,13089,0,13089,0,1,3768,0,1,6378,0,0,0,833,0,833,364,0,13089,9671,1.399999976158142,833,13089,6.800000190734863
2016,53,고신대학교,대학,사립,부산,C그룹,198968,123887,322855,268987,155041,424028,20,11,8341,0,31,31639,548,232,780,5637,5661,11298,7916,0,424028,5064,83.69999694824219,11298,424028,2.700000047683716
2016,54,공군사관학교,기타,기타,충북,-,10,10,20,169686,36125,205811,1,5,2695,0,6,7396,229,16,245,5106,2012,7118,7064,6827,205811,0,0.0,7118,205811,3.5999999046325684
2016,55,공주교육대학교,대학,국립,충남,C그룹,111770,5059,116829,282782,14352,297134,5,3,1966,0,8,14011,40,0,40,4728,323,5051,3343,0,297134,2024,146.8000030517578,5051,297134,1.7000000476837158
2016,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,5660,13585,19245,7137,19888,27025,0,5,23022,0,5,53227,0,0,0,0,0,0,0,0,27025,1235,21.899999618530277,0,27025,0.0
2016,57,광신대학교,대학,사립,광주,C그룹,47694,56911,104605,75730,63808,139538,0,3,4754,0,3,8145,166,46,212,698,1018,1716,1325,0,139538,949,147.0,1716,139538,1.2000000476837158
2016,58,광양보건대학교,전문대학,사립,전남,C그룹,21807,476,22283,36881,542,37423,1,0,0,0,1,3497,61,0,61,430,1386,1816,948,0,37423,1520,24.600000381469727,1816,37423,5.099999904632568
2016,59,광운대학교,대학,사립,서울,B그룹,261498,67809,329307,520827,115464,636291,23,16,31025,0,39,86999,291,56,347,49091,2284,51375,25753,0,636291,9807,64.9000015258789,51375,636291,8.800000190734863
2016,60,광주가톨릭대학교,대학,사립,전남,C그룹,85615,56370,141985,125193,70680,195873,2,5,42023,0,7,50005,55,77,132,1048,742,1790,1604,0,195873,106,1847.9000244140625,1790,195873,0.8999999761581421
2016,61,광주과학기술원,대학,국립,광주,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2016,62,광주교육대학교,대학,국립,광주,C그룹,136795,12278,149073,273591,12278,285869,0,3,7945,0,3,12170,127,40,167,4033,1634,5667,3676,0,285869,2190,130.5,5667,285869,2.0
2016,63,광주대학교,대학,사립,광주,B그룹,221752,60531,282283,409952,97638,507590,4,9,12173,0,13,29345,358,74,432,11730,358,12088,10214,22,507590,7747,65.5,12088,507590,2.400000095367432
2016,64,광주보건대학교,전문대학,사립,광주,B그룹,95524,5648,101172,182519,10597,193116,2,2,977,0,4,7204,173,24,197,4705,640,5345,2541,0,193116,3968,48.70000076293945,5345,193116,2.799999952316284
2016,65,광주여자대학교,대학,사립,광주,C그룹,147163,23057,170220,227897,30830,258727,5,2,51969,0,7,61598,149,19,168,16980,5266,22246,18952,0,258727,4114,62.900001525878906,22246,258727,9.399999618530272
2016,66,구미대학교,전문대학,사립,경북,A그룹,35035,3660,38695,157015,7791,164806,0,1,6192,0,1,6762,108,0,108,1663,90000,91663,4854,0,164806,5695,28.899999618530277,91663,164806,125.3000030517578
2016,67,구세군사관대학원대학교,대학원대학,사립,경기,-,21616,1815,23431,21616,1815,23431,1,0,0,0,1,850,115,7,122,327,669,996,734,0,23431,41,571.5,996,23431,4.400000095367432
2016,68,국군간호사관학교,기타,기타,대전,-,55083,2986,58069,60539,3114,63653,1,1,0,0,2,4463,73,10,83,1741,633,2374,2261,78,63653,0,0.0,2374,63653,3.900000095367432
2016,69,국립강릉원주대학교,대학,국립,강원,B그룹,442114,119304,561418,606464,187539,794003,11,8,39081,0,19,50930,481,25,506,9408,6325,15733,14433,0,794003,8685,91.4000015258789,15733,794003,2.0
2016,70,국립경국대학교,대학,국립,경북,B그룹,337843,79738,417581,696075,112342,808417,9,6,24545,0,15,39804,460,47,507,8622,5510,14132,8296,0,808417,7914,102.1999969482422,14132,808417,1.7999999523162842
2016,71,국립공주대학교,대학,국립,충남,A그룹,507911,108579,616490,1058171,172901,1231072,22,21,40448,0,43,100148,616,69,685,21125,6109,27234,16362,0,1231072,16672,73.80000305175781,27234,1231072,2.299999952316284
2016,72,국립군산대학교,대학,국립,전북,B그룹,244266,46552,290818,551745,93744,645489,9,9,20495,0,18,39014,115,93,208,7124,3733,10857,9223,0,645489,8296,77.80000305175781,10857,645489,1.7000000476837158
2016,73,국립금오공과대학교,대학,국립,경북,B그룹,162251,34182,196433,362420,59689,422109,16,10,9195,0,26,23273,192,60,252,12717,3211,15928,8704,0,422109,7131,59.20000076293945,15928,422109,3.900000095367432
2016,74,국립목포대학교,대학,국립,전남,B그룹,245214,87349,332563,491536,133541,625077,13,21,11756,0,34,65752,394,59,453,12100,5683,17783,10871,0,625077,8513,73.4000015258789,17783,625077,2.900000095367432
2016,75,국립목포해양대학교,대학,국립,전남,C그룹,93827,14859,108686,193616,19944,213560,6,4,14565,0,10,32490,93,47,140,3569,1113,4682,2346,0,213560,2748,77.69999694824219,4682,213560,2.200000047683716
2016,76,국립부경대학교,대학,국립,부산,A그룹,308893,137687,446580,937699,203841,1141540,17,23,30157,0,40,56651,533,169,702,10723,18177,28900,21337,0,1141540,19611,58.20000076293945,28900,1141540,2.5999999046325684
2016,77,국립순천대학교,대학,국립,전남,B그룹,270059,64968,335027,641584,131242,772826,27,21,30446,0,48,183725,400,122,522,21661,3422,25083,11624,0,772826,8341,92.6999969482422,25083,772826,3.400000095367432
2016,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,526,385,911,531,401,932,11,4,0,0,15,4393,0,0,0,147,0,147,136,0,932,66,14.100000381469728,147,932,18.700000762939453
2016,79,국립창원대학교,대학,국립,경남,B그룹,196130,55319,251449,472078,143142,615220,15,11,40319,0,26,53262,671,197,868,14617,3181,17798,13654,0,615220,10088,61.0,17798,615220,3.0
2016,80,국립한국교통대학교,대학,국립,충북,B그룹,222910,32351,255261,547689,64528,612217,13,6,5761,0,19,459889,68,0,68,30286,2948,33234,13664,0,612217,9302,65.80000305175781,33234,612217,5.699999809265137
2016,81,국립한국해양대학교,대학,국립,부산,B그룹,159134,82756,241890,364237,144020,508257,8,8,12126,0,16,77021,308,78,386,8076,5983,14059,7724,0,508257,7840,64.80000305175781,14059,508257,2.799999952316284
2016,82,국립한밭대학교,대학,국립,대전,B그룹,206270,57082,263352,458978,77539,536517,7,6,9829,0,13,16623,249,82,331,15374,1046,16420,8700,0,536517,8965,59.79999923706055,16420,536517,3.200000047683716
2016,83,국민대학교,대학,사립,서울,A그룹,390556,153313,543869,1046509,234654,1281163,27,39,57970,0,66,92527,938,255,1193,148167,14716,162883,28929,309,1281163,18182,70.5,162883,1281163,14.600000381469728
2016,84,국방대학교,기타,기타,충남,-,148247,67514,215761,261564,81306,342870,0,11,9572,0,11,9633,397,127,524,8141,1114,9255,6619,0,342870,0,0.0,9255,342870,2.799999952316284
2016,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,14725,368,15093,16508,489,16997,1,0,0,0,1,1880,0,0,0,85,30,115,95,1135,16997,267,63.70000076293945,115,16997,0.699999988079071
2016,86,국제대학교,전문대학,사립,경기,B그룹,32152,1045,33197,53962,1070,55032,4,2,9420,0,6,16211,91,0,91,1872,814,2686,1963,0,55032,4289,12.800000190734863,2686,55032,5.099999904632568
2016,87,국제문화대학원대학교,대학원대학,사립,충남,-,3492,291,3783,5998,497,6495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6495,0,0.0,0,6495,0.0
2016,88,국제법률경영대학원대학교,대학원대학,사립,경기,-,1289,2708,3997,2265,4838,7103,0,0,0,0,0,0,0,0,0,0,100,100,100,10,7103,88,80.69999694824219,100,7103,1.399999976158142
2016,89,국제사이버대학교,대학,사립,경기,C그룹,1200,0,1200,9390,0,9390,0,0,9390,0,0,9390,0,0,0,0,0,0,0,0,9390,2764,3.400000095367432,0,9390,0.0
2016,90,국제언어대학원대학교,대학원대학,사립,서울,-,2571,9098,11669,3229,12562,15791,1,0,128,0,1,158,17,36,53,188,236,424,297,0,15791,82,192.6000061035156,424,15791,2.799999952316284
2016,91,국제예술대학교,기타,기타,서울,-,5,1,6,976,26,1002,0,0,0,0,0,14,0,0,0,0,0,0,0,25,1002,0,0.0,0,1002,0.0
2016,92,군산간호대학교,전문대학,사립,전북,C그룹,27952,1025,28977,37402,2143,39545,2,1,2167,0,3,6243,34,0,34,1243,132,1375,984,12,39545,1112,35.599998474121094,1375,39545,3.5999999046325684
2016,93,군장대학교,전문대학,사립,전북,C그룹,38540,175,38715,63967,238,64205,1,1,2722,0,2,6809,42,0,42,2917,145,3062,2325,0,64205,1918,33.5,3062,64205,5.0
2016,94,극동대학교,대학,사립,충북,C그룹,63984,25328,89312,92552,31713,124265,3,2,14039,0,5,21434,187,10,197,16931,0,16931,15930,0,124265,4293,28.899999618530277,16931,124265,15.800000190734863
2016,95,글로벌사이버대학교,대학,사립,충남,C그룹,426,0,426,1308,0,1308,0,1,464,0,1,1294,0,0,0,0,0,0,0,0,1308,2133,0.6000000238418579,0,1308,0.0
2016,96,금강대학교,대학,사립,충남,C그룹,49687,22901,72588,80573,36339,116912,0,3,1509,0,3,6861,85,10,95,1271,1497,2768,2768,0,116912,548,213.3000030517578,2768,116912,2.400000095367432
2016,97,기독간호대학교,전문대학,사립,광주,C그룹,17747,4165,21912,25981,5321,31302,1,2,151,0,3,4796,43,0,43,659,137,796,592,0,31302,637,49.09999847412109,796,31302,2.5999999046325684
2016,98,김천대학교,대학,사립,경북,C그룹,71312,2852,74164,103664,3837,107501,2,6,47481,0,8,65719,116,0,116,11404,746,12150,8672,7,107501,3758,28.600000381469727,12150,107501,12.699999809265137
2016,99,김포대학교,전문대학,사립,경기,C그룹,59217,4785,64002,102066,5601,107667,3,0,1611,0,3,7393,101,8,109,4915,636,5551,4353,0,107667,3331,32.29999923706055,5551,107667,5.400000095367432
2016,100,김해대학교,전문대학,사립,경남,C그룹,17891,145,18036,19147,148,19295,1,1,217,0,2,2747,20,0,20,1586,1480,3066,2750,0,19295,1378,14.0,3066,19295,18.899999618530277
2016,101,나사렛대학교,대학,사립,충남,B그룹,143815,50300,194115,223699,56986,280685,5,8,48775,0,13,79706,156,38,194,17057,701,17758,8132,0,280685,5861,47.900001525878906,17758,280685,6.800000190734863
2016,102,나주대학교,전문대학,사립,전남,C그룹,24000,0,24000,24000,0,24000,0,0,0,0,0,0,118,0,118,300,40,340,50,0,24000,2131,11.300000190734863,340,24000,1.399999976158142
2016,103,남부대학교,대학,사립,광주,C그룹,66256,3003,69259,68853,3065,71918,3,4,5904,0,7,11614,270,25,295,4005,319,4324,3546,0,71918,3396,21.200000762939453,4324,71918,6.400000095367432
2016,104,남서울대학교,대학,사립,충남,B그룹,296098,117046,413144,583190,183774,766964,4,10,45635,0,14,64361,984,0,984,4971,2115,7086,5669,0,766964,10310,74.4000015258789,7086,766964,0.8999999761581421
2016,105,농협대학교,전문대학,사립,경기,C그룹,34234,5231,39465,42252,6325,48577,1,0,885,0,1,2765,22,9,31,1414,314,1728,1286,3533,48577,523,92.9000015258789,1728,48577,3.700000047683716
2016,106,능인대학원대학교,대학원대학,사립,경기,-,1110,0,1110,2221,0,2221,0,1,0,0,1,1520,1,0,1,78,2135,2213,1062,0,2221,72,30.799999237060547,2213,2221,27662.5
2016,107,단국대학교,대학,사립,경기,A그룹,881166,295473,1176639,1412416,490550,1902966,26,22,32656,0,48,80307,1033,217,1250,41562,11317,52879,42437,0,1902966,27070,70.30000305175781,52879,1902966,2.900000095367432
2016,108,대경대학교,전문대학,사립,경북,B그룹,22367,844,23211,41447,1093,42540,1,4,1502,0,5,7006,80,2,82,2797,4274,7071,4331,0,42540,4276,9.899999618530272,7071,42540,19.899999618530277
2016,109,대구가톨릭대학교,대학,사립,경북,A그룹,456221,242720,698941,934525,353162,1287687,40,30,36237,0,70,61848,900,93,993,17849,5250,23099,18096,0,1287687,15341,83.9000015258789,23099,1287687,1.7999999523162842
2016,110,대구경북과학기술원,대학,국립,대구,C그룹,29378,15000,44378,39720,49921,89641,38,21,315033,0,59,356332,37,13,50,9080,493,9573,7340,0,89641,911,98.4000015258789,9573,89641,12.0
2016,111,대구공업대학교,전문대학,사립,대구,C그룹,56127,1964,58091,96492,3066,99558,0,0,5188,0,0,5192,77,0,77,2239,92,2331,2232,2000,99558,1879,53.0,2331,99558,2.400000095367432
