YR,ID,SNM,STYP,FND,RGN,USC,STF_FT_HLIBC,STF_FT_NLIBC,STF_PT_HLIBC,STF_PT_NLIBC,STF_TTL_HLIBC,STF_TTL_NLIBC,STF_TTL_SUM,LIBCS_FT_SL1,LIBCS_FT_SL2,LIBCS_FT_ALIB,LIBCS_FT_TTL,LIBCS_PT_SL1,LIBCS_PT_SL2,LIBCS_PT_ALIB,LIBCS_PT_TTL,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCP,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCP,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2017,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,311,2.5999999046325684,0,0,311,0.0,0,1,0,0.0
2017,2,가야대학교,대학,사립,경남,C그룹,2,0,2,0,4,0,4,0,2,0,2,0,2,0,2,168,23,2,0,2,0,2718,1.2999999523162842,2,2,2718,1.5,168,2,2,42.0
2017,3,가천대학교,대학,사립,경기,A그룹,10,6,4,7,14,13,27,2,7,1,10,0,4,0,4,849,165,10,6,4,7,20737,1.0,10,4,20737,0.699999988079071,849,16,11,31.399999618530277
2017,4,가톨릭관동대학교,대학,사립,강원,B그룹,5,0,0,9,5,9,14,1,4,0,5,0,0,0,0,437,52,5,0,0,9,9332,1.0,5,0,9332,0.5,437,5,9,31.200000762939453
2017,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,36,3,1,0,0,0,536,1.899999976158142,1,0,536,1.899999976158142,36,1,0,36.0
2017,6,가톨릭대학교,대학,사립,경기,A그룹,19,7,2,1,21,8,29,4,15,0,19,0,2,0,2,690,124,19,7,2,1,10881,2.5,19,2,10881,1.899999976158142,690,26,3,23.799999237060547
2017,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,1,0,2,1,3,1,4,1,0,0,1,0,2,0,2,291,37,1,0,2,1,1975,1.600000023841858,1,2,1975,1.5,291,1,3,72.80000305175781
2017,8,감리교신학대학교,대학,사립,서울,C그룹,3,0,0,0,3,0,3,2,1,0,3,0,0,0,0,135,3,3,0,0,0,1576,1.899999976158142,3,0,1576,1.899999976158142,135,3,0,45.0
2017,9,강남대학교,대학,사립,경기,B그룹,3,1,6,1,9,2,11,0,3,0,3,0,6,0,6,194,36,3,1,6,1,7325,1.2000000476837158,3,6,7325,1.2000000476837158,194,4,7,17.600000381469727
2017,10,강동대학교,전문대학,사립,충북,B그룹,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,12,1,1,0,0,0,4027,0.2000000029802322,1,0,4027,0.2000000029802322,12,1,0,12.0
2017,11,강릉영동대학교,전문대학,사립,강원,B그룹,0,1,1,0,1,1,2,0,0,0,0,0,0,1,1,48,2,0,1,1,0,3008,0.5,0,1,3008,0.3000000119209289,48,1,1,24.0
2017,12,강서대학교,대학,사립,서울,C그룹,2,1,1,0,3,1,4,0,2,0,2,0,0,1,1,98,26,2,1,1,0,1604,2.200000047683716,2,1,1604,1.899999976158142,98,3,1,24.5
2017,13,강원관광대학교,전문대학,사립,강원,C그룹,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,30,2,1,0,0,0,1351,0.699999988079071,1,0,1351,0.699999988079071,30,1,0,30.0
2017,14,강원대학교,대학,국립,강원,A그룹,25,2,2,7,27,9,36,8,15,2,25,1,1,0,2,2092,162,25,2,2,7,23947,1.2999999523162842,25,2,23947,1.100000023841858,2092,27,9,58.09999847412109
2017,15,강원도립대학교,전문대학,공립,강원,C그룹,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,65,3,1,0,0,0,894,1.100000023841858,1,0,894,1.100000023841858,65,1,0,65.0
2017,16,개신대학원대학교,대학원대학,사립,서울,-,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,20,1,1,0,0,0,134,7.5,1,0,134,7.5,20,1,0,20.0
2017,17,거제대학교,전문대학,사립,경남,C그룹,1,0,1,0,2,0,2,1,0,0,1,0,1,0,1,121,4,1,0,1,0,1566,1.100000023841858,1,1,1566,1.2999999523162842,121,1,1,60.5
2017,18,건국대학교,대학,사립,서울,A그룹,8,4,16,3,24,7,31,4,4,0,8,0,15,1,16,702,132,8,4,16,3,19902,1.2999999523162842,8,16,19902,1.2000000476837158,702,12,19,22.600000381469727
2017,19,건국대학교(글로컬),대학,사립,충북,B그룹,4,2,4,5,8,7,15,4,0,0,4,0,4,0,4,487,60,4,2,4,5,8761,1.2999999523162842,4,4,8761,0.8999999761581421,487,6,9,32.5
2017,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2017,21,건신대학원대학교,대학원대학,사립,대전,-,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,49,3,0,0,0,1,148,3.400000095367432,0,0,148,0.0,49,0,1,49.0
2017,22,건양대학교,대학,사립,충남,B그룹,4,1,5,0,9,1,10,0,4,0,4,0,5,0,5,763,19,4,1,5,0,8593,1.0,4,5,8593,1.0,763,5,5,76.30000305175781
2017,23,경기과학기술대학교,전문대학,사립,경기,A그룹,1,1,1,0,2,1,3,0,1,0,1,0,1,0,1,125,4,1,1,1,0,4483,0.6000000238418579,1,1,4483,0.4000000059604645,125,2,1,41.70000076293945
2017,24,경기대학교,대학,사립,경기,A그룹,11,0,1,2,12,2,14,3,8,0,11,0,1,0,1,375,42,11,0,1,2,16377,0.800000011920929,11,1,16377,0.699999988079071,375,11,3,26.799999237060547
2017,25,경남대학교,대학,사립,경남,A그룹,7,0,2,11,9,11,20,3,4,0,7,0,2,0,2,945,235,7,0,2,11,13489,1.0,7,2,13489,0.699999988079071,945,7,13,47.29999923706055
2017,26,경남도립거창대학,전문대학,공립,경남,C그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,71,3,1,0,0,1,889,1.7000000476837158,1,0,889,1.100000023841858,71,1,1,35.5
2017,27,경남도립남해대학,전문대학,공립,경남,C그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,123,1,1,0,0,1,848,1.7999999523162842,1,0,848,1.2000000476837158,123,1,1,61.5
2017,28,경남정보대학교,전문대학,사립,부산,A그룹,2,1,0,1,2,2,4,1,1,0,2,0,0,0,0,70,3,2,1,0,1,6853,0.5,2,0,6853,0.3000000119209289,70,3,1,17.5
2017,29,경동대학교,대학,사립,강원,B그룹,7,1,0,0,7,1,8,0,4,3,7,0,0,0,0,134,26,7,1,0,0,7240,1.100000023841858,7,0,7240,1.0,134,8,0,16.799999237060547
2017,30,경민대학교,전문대학,사립,경기,B그룹,2,0,0,2,2,2,4,1,1,0,2,0,0,0,0,113,15,2,0,0,2,4661,0.6000000238418579,2,0,4661,0.4000000059604645,113,2,2,28.299999237060547
2017,31,경복대학교,전문대학,사립,경기,A그룹,1,0,1,0,2,0,2,0,1,0,1,0,0,1,1,152,9,1,0,1,0,6350,0.3000000119209289,1,1,6350,0.3000000119209289,152,1,1,76.0
2017,32,경북과학대학교,전문대학,사립,경북,C그룹,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,42,2,1,0,0,0,1902,0.5,1,0,1902,0.5,42,1,0,42.0
2017,33,경북대학교,대학,국립,대구,A그룹,43,6,10,1,53,7,60,14,26,3,43,1,7,2,10,3544,484,43,6,10,1,30296,1.899999976158142,43,10,30296,1.7000000476837158,3544,49,11,59.09999847412109
2017,34,경북보건대학교,전문대학,사립,경북,C그룹,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,29,2,1,0,0,0,1300,0.800000011920929,1,0,1300,0.800000011920929,29,1,0,29.0
2017,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2017,36,경북전문대학교,전문대학,사립,경북,B그룹,1,1,0,0,1,1,2,0,1,0,1,0,0,0,0,76,2,1,1,0,0,2562,0.699999988079071,1,0,2562,0.4000000059604645,76,2,0,38.0
2017,37,경상국립대학교,대학,국립,경남,A그룹,28,4,6,0,34,4,38,8,19,1,28,1,5,0,6,2331,482,28,4,6,0,22867,1.600000023841858,28,6,22867,1.5,2331,32,6,61.29999923706055
2017,38,경성대학교,대학,사립,부산,A그룹,10,2,2,0,12,2,14,2,8,0,10,0,2,0,2,809,257,10,2,2,0,13468,1.0,10,2,13468,0.8999999761581421,809,12,2,57.79999923706055
2017,39,경안대학원대학교,대학원대학,사립,경북,-,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73,11.0,0,0,73,0.0,0,1,0,0.0
2017,40,경운대학교,대학,사립,경북,C그룹,3,2,0,1,3,3,6,0,3,0,3,0,0,0,0,184,34,3,2,0,1,5066,1.0,3,0,5066,0.6000000238418579,184,5,1,30.700000762939453
2017,41,경인교육대학교,대학,국립,인천,C그룹,7,1,0,0,7,1,8,1,6,0,7,0,0,0,0,1016,18,7,1,0,0,4246,1.7999999523162842,7,0,4246,1.600000023841858,1016,8,0,127.0
2017,42,경인여자대학교,전문대학,사립,인천,B그룹,0,0,1,1,1,1,2,0,0,0,0,0,1,0,1,55,12,0,0,1,1,4894,0.3000000119209289,0,1,4894,0.2000000029802322,55,0,2,27.5
2017,43,경일대학교,대학,사립,경북,B그룹,4,1,4,0,8,1,9,0,4,0,4,0,4,0,4,200,42,4,1,4,0,7373,1.100000023841858,4,4,7373,1.100000023841858,200,5,4,22.200000762939453
2017,44,경찰대학,기타,기타,충남,-,4,2,0,0,4,2,6,1,3,0,4,0,0,0,0,498,19,4,2,0,0,0,0.0,4,0,0,0.0,498,6,0,83.0
2017,45,경희대학교,대학,사립,서울,A그룹,25,2,25,1,50,3,53,11,13,1,25,0,24,1,25,1506,463,25,2,25,1,33327,1.399999976158142,25,25,33327,1.5,1506,27,26,28.399999618530277
2017,46,계명대학교,대학,사립,대구,A그룹,22,1,1,8,23,9,32,9,11,2,22,0,1,0,1,1537,357,22,1,1,8,24537,1.100000023841858,22,1,24537,0.8999999761581421,1537,23,9,48.0
2017,47,계명문화대학교,전문대학,사립,대구,A그룹,2,0,1,0,3,0,3,0,0,2,2,0,1,0,1,91,13,2,0,1,0,5179,0.5,2,1,5179,0.6000000238418579,91,2,1,30.299999237060547
2017,48,계약신학대학원대학교,대학원대학,사립,경기,-,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,24,0,1,0,0,0,68,14.699999809265137,1,0,68,14.699999809265137,24,1,0,24.0
2017,49,계원예술대학교,전문대학,사립,경기,B그룹,1,1,1,0,2,1,3,0,1,0,1,0,0,1,1,319,25,1,1,1,0,2856,0.8999999761581421,1,1,2856,0.699999988079071,319,2,1,106.3000030517578
2017,50,고려대학교,대학,사립,서울,A그룹,28,5,11,3,39,8,47,14,14,0,28,0,9,2,11,2673,370,28,5,11,3,29540,1.399999976158142,28,11,29540,1.2999999523162842,2673,33,14,56.900001525878906
2017,51,고려대학교(세종),대학,사립,세종,B그룹,3,0,6,0,9,0,9,0,3,0,3,0,6,0,6,191,14,3,0,6,0,7768,1.0,3,6,7768,1.2000000476837158,191,3,6,21.200000762939453
2017,52,고려사이버대학교,대학,사립,서울,A그룹,0,1,1,0,1,1,2,0,0,0,0,0,0,1,1,4,1,0,1,1,0,9671,0.2000000029802322,0,1,9671,0.1000000014901161,4,1,1,2.0
2017,53,고신대학교,대학,사립,부산,C그룹,5,1,0,1,5,2,7,0,4,1,5,0,0,0,0,199,19,5,1,0,1,5064,1.2000000476837158,5,0,5064,1.0,199,6,1,28.399999618530277
2017,54,공군사관학교,기타,기타,충북,-,7,0,0,0,7,0,7,3,4,0,7,0,0,0,0,436,18,7,0,0,0,0,0.0,7,0,0,0.0,436,7,0,62.29999923706055
2017,55,공주교육대학교,대학,국립,충남,C그룹,4,2,0,0,4,2,6,2,2,0,4,0,0,0,0,612,88,4,2,0,0,2024,2.799999952316284,4,0,2024,2.0,612,6,0,102.0
2017,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,41,1,0,1,0,0,1235,0.6000000238418579,0,0,1235,0.0,41,1,0,41.0
2017,57,광신대학교,대학,사립,광주,C그룹,1,2,0,0,1,2,3,0,1,0,1,0,0,0,0,57,3,1,2,0,0,949,2.700000047683716,1,0,949,1.100000023841858,57,3,0,19.0
2017,58,광양보건대학교,전문대학,사립,전남,C그룹,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,41,1,1,0,0,0,1520,0.699999988079071,1,0,1520,0.699999988079071,41,1,0,41.0
2017,59,광운대학교,대학,사립,서울,B그룹,5,1,8,0,13,1,14,1,4,0,5,0,8,0,8,413,70,5,1,8,0,9807,1.2000000476837158,5,8,9807,1.2999999523162842,413,6,8,29.5
2017,60,광주가톨릭대학교,대학,사립,전남,C그룹,2,0,0,0,2,0,2,0,2,0,2,0,0,0,0,51,1,2,0,0,0,106,18.899999618530277,2,0,106,18.899999618530277,51,2,0,25.5
2017,61,광주과학기술원,대학,국립,광주,C그룹,1,1,3,1,4,2,6,0,1,0,1,0,3,0,3,249,24,1,1,3,1,1922,2.400000095367432,1,3,1922,2.0999999046325684,249,2,4,41.5
2017,62,광주교육대학교,대학,국립,광주,C그룹,1,3,0,0,1,3,4,0,1,0,1,0,0,0,0,248,10,1,3,0,0,2190,1.600000023841858,1,0,2190,0.5,248,4,0,62.0
2017,63,광주대학교,대학,사립,광주,B그룹,2,1,5,3,7,4,11,2,0,0,2,0,5,0,5,592,70,2,1,5,3,7747,1.100000023841858,2,5,7747,0.8999999761581421,592,3,8,53.79999923706055
2017,64,광주보건대학교,전문대학,사립,광주,B그룹,2,0,0,2,2,2,4,0,2,0,2,0,0,0,0,166,20,2,0,0,2,3968,0.800000011920929,2,0,3968,0.5,166,2,2,41.5
2017,65,광주여자대학교,대학,사립,광주,C그룹,0,3,1,2,1,5,6,0,0,0,0,0,1,0,1,539,18,0,3,1,2,4114,1.0,0,1,4114,0.2000000029802322,539,3,3,89.80000305175781
2017,66,구미대학교,전문대학,사립,경북,A그룹,1,0,1,1,2,1,3,1,0,0,1,0,1,0,1,105,4,1,0,1,1,5695,0.4000000059604645,1,1,5695,0.4000000059604645,105,1,2,35.0
2017,67,구세군사관대학원대학교,대학원대학,사립,경기,-,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,30,2,0,0,1,0,41,19.5,0,1,41,24.399999618530277,30,0,1,30.0
2017,68,국군간호사관학교,기타,기타,대전,-,1,0,1,0,2,0,2,0,1,0,1,1,0,0,1,183,5,1,0,1,0,0,0.0,1,1,0,0.0,183,1,1,91.5
2017,69,국립강릉원주대학교,대학,국립,강원,B그룹,13,3,0,0,13,3,16,1,11,1,13,0,0,0,0,1711,81,13,3,0,0,8685,1.7999999523162842,13,0,8685,1.5,1711,16,0,106.9000015258789
2017,70,국립경국대학교,대학,국립,경북,B그룹,12,0,2,1,14,1,15,2,10,0,12,0,0,2,2,999,119,12,0,2,1,7914,1.7999999523162842,12,2,7914,1.7999999523162842,999,12,3,66.5999984741211
2017,71,국립공주대학교,대학,국립,충남,A그룹,19,1,0,2,19,3,22,8,11,0,19,0,0,0,0,2335,312,19,1,0,2,16672,1.2000000476837158,19,0,16672,1.100000023841858,2335,20,2,106.0999984741211
2017,72,국립군산대학교,대학,국립,전북,B그룹,13,0,0,2,13,2,15,3,10,0,13,0,0,0,0,1359,222,13,0,0,2,8296,1.7000000476837158,13,0,8296,1.600000023841858,1359,13,2,90.5999984741211
2017,73,국립금오공과대학교,대학,국립,경북,B그룹,5,1,2,1,7,2,9,3,2,0,5,0,2,0,2,844,39,5,1,2,1,7131,1.100000023841858,5,2,7131,1.0,844,6,3,93.8000030517578
2017,74,국립목포대학교,대학,국립,전남,B그룹,9,2,0,2,9,4,13,5,4,0,9,0,0,0,0,1370,227,9,2,0,2,8513,1.399999976158142,9,0,8513,1.100000023841858,1370,11,2,105.4000015258789
2017,75,국립목포해양대학교,대학,국립,전남,C그룹,4,0,0,1,4,1,5,1,3,0,4,0,0,0,0,312,15,4,0,0,1,2748,1.600000023841858,4,0,2748,1.5,312,4,1,62.400001525878906
2017,76,국립부경대학교,대학,국립,부산,A그룹,20,0,1,0,21,0,21,7,12,1,20,0,1,0,1,1813,330,20,0,1,0,19611,1.100000023841858,20,1,19611,1.100000023841858,1813,20,1,86.30000305175781
2017,77,국립순천대학교,대학,국립,전남,B그룹,11,0,0,1,11,1,12,6,5,0,11,0,0,0,0,1127,58,11,0,0,1,8341,1.399999976158142,11,0,8341,1.2999999523162842,1127,11,1,93.9000015258789
2017,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0.0,0,0,66,0.0,0,0,0,0.0
2017,79,국립창원대학교,대학,국립,경남,B그룹,13,1,2,0,15,1,16,2,10,1,13,0,1,1,2,1301,53,13,1,2,0,10088,1.5,13,2,10088,1.5,1301,14,2,81.30000305175781
2017,80,국립한국교통대학교,대학,국립,충북,B그룹,9,1,0,1,9,2,11,2,7,0,9,0,0,0,0,884,127,9,1,0,1,9302,1.100000023841858,9,0,9302,1.0,884,10,1,80.4000015258789
2017,81,국립한국해양대학교,대학,국립,부산,B그룹,10,0,0,0,10,0,10,5,5,0,10,0,0,0,0,897,244,10,0,0,0,7840,1.2999999523162842,10,0,7840,1.2999999523162842,897,10,0,89.69999694824219
2017,82,국립한밭대학교,대학,국립,대전,B그룹,9,1,1,0,10,1,11,1,6,2,9,0,1,0,1,686,34,9,1,1,0,8965,1.2000000476837158,9,1,8965,1.100000023841858,686,10,1,62.400001525878906
2017,83,국민대학교,대학,사립,서울,A그룹,11,1,9,13,20,14,34,5,5,1,11,0,9,0,9,1182,197,11,1,9,13,18182,1.399999976158142,11,9,18182,1.100000023841858,1182,12,22,34.79999923706055
2017,84,국방대학교,기타,기타,충남,-,7,4,1,0,8,4,12,2,5,0,7,0,1,0,1,150,4,7,4,1,0,0,0.0,7,1,0,0.0,150,11,1,12.5
2017,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,6,1,1,0,0,0,267,3.700000047683716,1,0,267,3.700000047683716,6,1,0,6.0
2017,86,국제대학교,전문대학,사립,경기,B그룹,1,0,1,0,2,0,2,0,0,1,1,0,1,0,1,136,5,1,0,1,0,4289,0.4000000059604645,1,1,4289,0.5,136,1,1,68.0
2017,87,국제문화대학원대학교,대학원대학,사립,충남,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2017,88,국제법률경영대학원대학교,대학원대학,사립,경기,-,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,88,9.100000381469728,0,0,88,0.0,0,1,0,0.0
2017,89,국제사이버대학교,대학,사립,경기,C그룹,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,54,2,0,2,0,0,2764,0.6000000238418579,0,0,2764,0.0,54,2,0,27.0
2017,90,국제언어대학원대학교,대학원대학,사립,서울,-,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,50,1,1,0,0,1,82,18.299999237060547,1,0,82,12.199999809265137,50,1,1,25.0
2017,91,국제예술대학교,기타,기타,서울,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2017,92,군산간호대학교,전문대학,사립,전북,C그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,47,3,1,0,0,1,1112,1.2999999523162842,1,0,1112,0.8999999761581421,47,1,1,23.5
2017,93,군장대학교,전문대학,사립,전북,C그룹,1,1,0,0,1,1,2,0,1,0,1,0,0,0,0,33,3,1,1,0,0,1918,0.8999999761581421,1,0,1918,0.5,33,2,0,16.5
2017,94,극동대학교,대학,사립,충북,C그룹,1,3,2,0,3,3,6,0,1,0,1,0,1,1,2,119,16,1,3,2,0,4293,1.2000000476837158,1,2,4293,0.699999988079071,119,4,2,19.799999237060547
2017,95,글로벌사이버대학교,대학,사립,충남,C그룹,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2133,0.4000000059604645,0,0,2133,0.0,0,1,0,0.0
2017,96,금강대학교,대학,사립,충남,C그룹,2,0,1,0,3,0,3,1,1,0,2,0,1,0,1,105,12,2,0,1,0,548,5.099999904632568,2,1,548,5.5,105,2,1,35.0
2017,97,기독간호대학교,전문대학,사립,광주,C그룹,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,30,4,0,0,1,0,637,1.2999999523162842,0,1,637,1.600000023841858,30,0,1,30.0
2017,98,김천대학교,대학,사립,경북,C그룹,2,2,1,0,3,2,5,0,2,0,2,0,1,0,1,167,58,2,2,1,0,3758,1.2000000476837158,2,1,3758,0.800000011920929,167,4,1,33.400001525878906
2017,99,김포대학교,전문대학,사립,경기,C그룹,0,0,1,1,1,1,2,0,0,0,0,0,1,0,1,33,1,0,0,1,1,3331,0.4000000059604645,0,1,3331,0.3000000119209289,33,0,2,16.5
2017,100,김해대학교,전문대학,사립,경남,C그룹,1,1,0,0,1,1,2,0,1,0,1,0,0,0,0,48,1,1,1,0,0,1378,1.2999999523162842,1,0,1378,0.699999988079071,48,2,0,24.0
2017,101,나사렛대학교,대학,사립,충남,B그룹,3,0,4,1,7,1,8,0,3,0,3,0,4,0,4,209,16,3,0,4,1,5861,1.100000023841858,3,4,5861,1.2000000476837158,209,3,5,26.100000381469727
2017,102,나주대학교,전문대학,사립,전남,C그룹,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,15,1,0,0,1,0,2131,0.4000000059604645,0,1,2131,0.5,15,0,1,15.0
2017,103,남부대학교,대학,사립,광주,C그룹,2,2,0,0,2,2,4,0,2,0,2,0,0,0,0,98,8,2,2,0,0,3396,1.100000023841858,2,0,3396,0.6000000238418579,98,4,0,24.5
2017,104,남서울대학교,대학,사립,충남,B그룹,3,0,5,9,8,9,17,0,3,0,3,0,5,0,5,529,40,3,0,5,9,10310,1.100000023841858,3,5,10310,0.800000011920929,529,3,14,31.100000381469727
2017,105,농협대학교,전문대학,사립,경기,C그룹,1,1,0,0,1,1,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,523,3.400000095367432,1,0,523,1.899999976158142,0,2,0,0.0
2017,106,능인대학원대학교,대학원대학,사립,경기,-,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,35,6,0,1,0,0,72,11.100000381469728,0,0,72,0.0,35,1,0,35.0
2017,107,단국대학교,대학,사립,경기,A그룹,17,0,0,0,17,0,17,5,12,0,17,0,0,0,0,763,102,17,0,0,0,27070,0.6000000238418579,17,0,27070,0.6000000238418579,763,17,0,44.900001525878906
2017,108,대경대학교,전문대학,사립,경북,B그룹,1,1,0,0,1,1,2,0,1,0,1,0,0,0,0,36,2,1,1,0,0,4276,0.4000000059604645,1,0,4276,0.2000000029802322,36,2,0,18.0
2017,109,대구가톨릭대학교,대학,사립,경북,A그룹,9,1,10,0,19,1,20,0,9,0,9,0,10,0,10,890,174,9,1,10,0,15341,1.2000000476837158,9,10,15341,1.2000000476837158,890,10,10,44.5
2017,110,대구경북과학기술원,대학,국립,대구,C그룹,1,0,3,0,4,0,4,0,1,0,1,0,3,0,3,247,27,1,0,3,0,911,3.700000047683716,1,3,911,4.400000095367432,247,1,3,61.79999923706055
2017,111,대구공업대학교,전문대학,사립,대구,C그룹,1,0,0,2,1,2,3,0,1,0,1,0,0,0,0,58,5,1,0,0,2,1879,1.100000023841858,1,0,1879,0.5,58,1,2,19.299999237060547
